Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
HD 23514 B,x,J03463839+2255112,56.66,22.919722222222223,136.2,1.2,M7,,,,,,,,14.92,,,,,2600,,63.0,360.0,,2012.0,,
2MASS J07284123-0427191,,J07284123-0427191,112.17166666666667,-4.455277777777778,,,M7,,,,,,15.56,14.85,14.33,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 11,,J04350850+2311398,68.78541666666666,23.194444444444446,130.0,12,M7,18.4,,17.5,,14.88,12.53,11.94,11.59,,,,,3020,,71.0,,,,,
USD161005,,,242.5225,-19.326666666666668,145.0,,M7,,,,,,,,,,,,,2600,,,,,,,
CFHT-Pl-15,,J03551257+2317378,58.8025,23.29388888888889,136.2,1.2,M7,,,21.09,,18.62,16.01,15.19,,14.77,,,,,,54.0,,,,UNCON,
KPNO-Tau 2,,J04185115+2814332,64.71333333333334,28.2425,140.0,,M7,21.38,,,,,13.93,13.24,12.75,,,,,,,,,,,,
CFHT-Tau 7 B,x,J04321786+2422149,68.07458333333334,24.370833333333334,142.0,3,M7,,,,,,,,,,,,,,,63.0,32.0,710.0,,,
ISO-Oph 164,,J16273863-2438391,246.91083333333333,-24.644166666666667,125.0,?,M7,,,,,17.4,13.27,11.93,11.08,,,,,,,,,,1999.0,,
GG Tau Bb,x,J04323034+1731406,68.12625,17.525277777777777,,,M7,17.0,,,,,,,,,,,,,,42.0,210.0,,1999.0,,
GJ 3629 B,x,J10512059+3607255,162.83583333333334,36.12388888888889,22.0,3,M7,,,,,,12.32,11.77,11.44,11.39,,,,,,46.0,4.4,17.0,2012.0,,
IPMBD 25 A,x,J03462608+2405096,56.60875,24.08611111111111,136.2,1.2,M7,,,,,17.82,15.19,14.61,14.16,,,,,,,66.0,,,,,
CFHT-Tau 13,,J04312669+2703188,67.86125,27.05527777777778,160.0,12,M7,,,,,17.9,14.83,13.97,13.45,,,,,2970,,54.0,,,,,
2MASS J15043465-5500045,,J15043465-5500045,226.14458333333334,-55.00138888888889,61.94,2.68,M7,,,,,,14.65,13.98,13.52,,,,,,,,,,2012.0,UNCON,
2MASS J16391688-3444528,,J16391688-3444528,249.82041666666666,-34.74805555555556,37.9,1.16,M7,,,,,,13.67,13.01,12.58,,,,,,,,,,2012.0,UNCON,
2MASS J16445570-2618333,,J16445570-2618333,251.23208333333332,-26.309166666666666,,,M7,,,,,,13.5,12.77,12.35,,,,,,,,,,2012.0,UNCON,
2MASS J12561816-7641340,,J12561816-7641340,194.07583333333332,-76.69277777777778,85.66,11.47,M7,,,,,,15.48,14.54,14.09,,,,,,,,,,2012.0,UNCON,
FU Tau A,x,J04233539+2503026,65.8975,25.050833333333333,140.0,,M7,,17.0,15.6,14.8,13.58,10.78,9.95,9.32,9.32,,,,2838,,52.0,,,,,
2MASS J16505873-2340002,,J16505873-2340002,252.74458333333334,-23.666666666666668,,,M7,,,19.96,,18.13,15,14.34,13.8,,,,,,,,,,2012.0,UNCON,
2MASS J07522390+1612157,,J07522390+1612157,118.09958333333333,16.204444444444444,18.39,0.34,M7,,16.13,,13.76,,10.88,10.2,9.85,,9.61,9.45,9.26,2731,2.01,68.0,,,,,
2MASS J06482289-2916280,,J06482289-2916280,102.09541666666667,-29.274444444444445,49.59,2.93,M7,,,,,,14.32,13.69,13.23,,,,,,,,,,2012.0,UNCON,
2MASS J13054198-5928351,,J13054198-5928351,196.425,-59.47638888888889,,,M7,,,,,19.54,15.38,14.54,14.09,,,,,,,,,,2012.0,UNCON,
CFHTWIR-Oph 101,,,246.94708333333332,-24.779444444444444,125.0,?,M7,,,,,,19.26,16.48,14.78,,,,,2880,,,,,2012.0,,
2MASS J06465202-3244011,,J06465202-3244011,101.71666666666667,-32.73361111111111,72.79,2.91,M7,,,20.06,,17.89,15.03,14.35,13.85,,,,,,,,,,2012.0,UNCON,
