Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
WISE J041318.68+210326.5,,,63.32791666666667,21.0575,,,L7.5,,,,,,,,,,,,,,,,,,2015.0,UNCON,,63.32757719107,21.05818409206,0.0045566,0.003316,83.71,52368742399289472,63.3279057322,0.2111,21.05697153382,0.1498,9.0817,0.2314,39.2536,281.412,68.985,0.282,-272.826,0.209,248,1.1596,304.29,0.617,1.444,31,,,15,1.052,false,656.477,1.28792,18.644318,76.7731,5.6035,20.625519,993.025,17.255495,1.63,3.370024,,,0,,,133260633277889492,,,556029774,0.003483,0.079295,0.012711,18.644318,0.003483,656.477,0.095,4.5437,3.3336,0.0702,2.713997
LHS 2397aB,x,J11202634-1440017,170.11,-14.667222222222222,14.25,0.43,L7.5,,,,,,15.23,14.4,,13.6,,,,1350,1.0,71.0,3.086,14.26,2003.0,,,170.10956878205,-14.6673121118,0.0013708,8.788E-4,99.07,3561357920880462848,170.10778947911,0.0656,-14.66889759108,0.0483,18.944,0.0727,260.7032,526.551,-387.297,0.084,-356.731,0.056,209,-1.2717,217.97,0.0,0.0,31,,,15,0.936,false,3755.72,4.40244,16.750633,357.516,12.1281,18.955303,5460.63,15.404788,1.549,3.550515,,,0,,,90391701084518382,,,,0.003035,0.036937,0.004979,16.750633,0.003035,3755.72,-0.011,1.3607,0.8943,-0.1416,1.536265
WISEP J004701.06+680352.1,,J00470038+6803543,11.754583333333333,68.06444444444445,15.0,1,L7.5,,,,,,15.6,13.97,13.05,,11.88,11.27,10.33,1350,,,,,2012.0,,,11.75621270888,68.06418954419,0.0234544,0.0158925,46.6,529737834613545728,11.75621270888,20.2401,68.06418954419,19.8246,,,,,,,,,44,24.553,900.62,63.785,100.0,3,,,6,,false,71.2126,1.22969,21.055975,58.6112,27.5617,20.91859,153.785,19.280613,2.983,1.637978,,,0,,,,,,,0.01895,0.510571,0.042251,21.055975,0.01895,71.2126,1.695,20.2401,19.8246,0.3702,2.375628
DENIS-P J013035.5-444541 B,x,J01303563-4445411,22.649166666666666,-44.76138888888889,40.0,14,L7.5,,,,,,17.28,16.13,15.34,15.34,,,,1450,,69.0,130.0,3860.0,2011.0,,,22.64849021191,-44.76144425337,0.0033572,0.0024346,138.08,4934682372428878208,22.64922336553,0.1393,-44.76156871857,0.1638,29.0484,0.2297,126.4587,120.43,117.129,0.18,-28.004,0.188,463,1.1545,752.98,1.235,7.546,95,1.0214,0.0408,28,1.038,false,618.826,1.14956,18.708447,41.2986,7.16086,21.298704,1147.75,17.098274,1.921,4.20043,,,0,,,,,504169499,,0.003415,0.188279,0.006804,18.682856,0.003387,633.584,0.274,2.8832,2.9808,-0.3091,1.740577
2MASS J21321145+1341584 B,x,J21321145+1341584,323.04791666666665,13.699444444444445,27.78,0.54,L7.5,,,,,,17.05,15.9,15.08,,,,,,,79.0,1.8,10.0,,UNCON,,323.04778907341,13.69893054123,0.0091098,0.0059025,26.23,1770412289943986432,323.04778907341,6.6516,13.69893054123,8.5781,,,,,,,,,115,3.4297,168.23,5.096,1.855,3,,,5,,false,65.9809,1.12637,21.13882,37.9172,5.54099,21.39145,148.065,19.321766,2.819,2.069685,,,0,,,,,,,0.018738,0.158687,0.103408,21.13882,0.018738,65.9809,1.474,6.6516,8.5781,0.3345,1.903115
SDSS J082519.45+211550.3,,J08251968+2115521,126.33208333333333,21.264444444444443,10.7,0.1,L7.5,22.5,,21.75,20.6,19.22,15.1,13.79,13.03,12.93,12.08,11.57,10.39,,,,,,2000.0,,,126.33171903034,21.26431926615,0.0159092,0.0086695,119.55,664214600677732864,126.32931321958,0.6841,21.26297407962,0.4994,92.6006,0.8221,112.6412,588.288,-504.454,0.896,-302.671,0.691,255,2.4678,336.72,2.093,2.088,95,0.9421,0.167,15,1.111,false,127.906,0.897327,20.420143,41.8019,7.75297,21.285553,248.637,18.758982,2.271,2.526571,,,0,,,133511263295935968,1237664835925836294,,,0.0081,0.20139,0.032208,20.402026,0.007982,130.058,0.86,14.485,10.8833,-0.4843,1.302633
SDSS J121209.31+013627.7 B,x,,183.03875,1.607777777777778,150.0,,L8,,,,,,,,,,,,,,,50.0,0.003,,2008.0,,,183.03878216453,1.60771423264,0.0029821,0.0017531,97.14,3699606286708406912,183.03867550677,0.1186,1.6074409691,0.0864,6.4743,0.1294,50.024,65.998,-23.989,0.185,-61.484,0.111,287,-0.0495,293.06,0.0,0.0,31,,,15,0.997,false,1206.38,1.88788,17.983658,841.319,12.071,18.02614,533.04,17.930996,1.139,0.095144,,,0,,,109921830387099504,1237651735221436440,112194130,459125269,0.003237,0.015826,0.018244,17.983658,0.003237,1206.38,-0.019,2.967,1.7786,-0.136,0.256378
2MASS J21481326-6323265,,J21481326-6323265,327.05541666666664,-63.39083333333333,15.0,?,L8,,,,,,15.33,14.34,13.77,,13.48,13.31,12.28,,,,,,,,,327.05526013882,-63.39076029916,0.018576,0.0094666,152.38,6402761567831358080,327.05505366216,0.5427,-63.39111905017,0.7782,16.8235,0.9798,17.1696,83.358,-20.808,0.746,-80.719,1.049,493,18.0246,1445.5,6.402,28.32,95,0.9324,0.1636,26,1.629,true,137.391,0.921214,20.34247,38.6676,8.8568,21.370174,313.924,18.505835,2.566,2.86434,,,0,,,,,,,0.007784,0.248703,0.022785,20.318829,0.007637,140.416,1.106,12.0219,17.0341,-0.5124,0.36446
2MASS J08503593+1057156 B,x,J08503593+1057156,132.64958333333334,10.954444444444444,32.79,0.86,L8,,,,,,17.7,16.45,,15.77,,,,1380,1.0,31.0,3.23,24.0,1999.0,,,132.65027384033,10.95443977603,0.003567,0.0011406,87.61,598656318656848256,132.65027384033,3.5642,10.95443977603,1.1493,,,,,,,,,81,0.3295,79.45,2.745,0.6752,3,,,7,,false,69.7815,1.24763,21.078016,38.7304,1.39805,21.368412,88.242,19.883707,1.82,1.484705,,,0,,,121141326502095802,1237671124296467133,,,0.019606,0.039291,0.207008,21.078016,0.019606,69.7815,0.551,3.5642,1.1493,0.1164,2.440588
2MASS J08564793+2235182 B,x,J08564793+2235182,134.19958333333332,22.58833333333333,30.86,0.95,L8,,,,,,,,,,,,,,,67.0,3.4,24.0,2003.0,,,134.19964736377,22.58841444703,0.0289108,0.01483,114.28,686139962047426048,134.19874848107,1.2202,22.58832260459,0.6092,31.8101,1.3319,23.8824,187.874,-186.734,1.653,-20.665,1.115,346,17.2265,1040.73,2.989,7.695,95,1.3592,0.2216,14,1.728,false,98.6288,0.780506,20.702358,33.3739,9.4498,21.530024,163.588,19.213518,1.997,2.316505,,,0,,,135101341988466736,1237667113330147527,,,0.009023,0.307438,0.068267,20.687949,0.008915,99.9464,0.617,27.0498,18.002,-0.4741,0.361337
SDSSp J085758.45+570851.4,,J08575849+5708514,134.49375,57.1475,10.3,2,L8,,23.02,,20.71,,15.04,13.79,12.96,12.94,12.03,11.42,10.3,,,,,,2002.0,,,134.49363393155,57.14761500706,0.0127541,0.0095142,71.35,1037131492704550656,134.49033217942,0.5893,57.14589230387,0.4985,72.7197,0.7297,99.6544,559.159,-403.003,0.768,-387.618,0.611,359,6.2608,596.47,3.992,7.554,95,0.6927,0.1749,22,1.244,false,124.851,0.687121,20.44639,34.8461,6.18145,21.483158,246.11,18.770071,2.25,2.713087,,,0,,,176571344915196577,1237651272963457855,,,0.00658,0.192622,0.034629,20.425126,0.006475,127.32,0.812,12.4616,9.8942,0.1773,0.472014
WD 0137-349 B,x,J01394284-3442393,24.928333333333335,-34.71083333333333,,,L8,,,,,,17.5,18.33,16.8,,,,,1350,0.77,56.0,0.003,2.17E-4,2006.0,,,24.92855497061,-34.71099385872,4.977E-4,3.493E-4,118.54,5012047927570807552,24.92832757346,0.0276,-34.71121116892,0.0223,9.8472,0.0367,268.0389,64.495,-42.059,0.03,-48.895,0.025,547,1.6827,817.96,0.182,6.858,31,,,23,1.051,false,13696.6,6.4948,15.345838,10517.6,13.3284,15.283755,5072.94,15.484747,1.138,-0.200992,,,0,,,,,9357038,,0.002803,0.003111,0.004469,15.345838,0.002803,13696.6,-0.011,0.468,0.3882,-0.2904,0.874162
WISE J150406.66-455223.9,,,226.02791666666667,-45.873333333333335,23.0,1,L8,,,,,,16.56,15.43,14.83,,14.15,13.81 >,12.34,,,,,,2013.0,,,226.0273683065,-45.87377993071,0.002035,0.0011173,67.33,5907122616758742016,226.0273683065,1.9266,-45.87377993071,1.2954,,,,,,,,,98,1.6033,115.85,2.436,0.8475,3,,,9,,false,96.4423,1.16289,20.726698,34.3141,4.96143,21.49986,83.157,19.948149,1.218,1.551712,,,0,,,,,,,0.013378,0.15701,0.089369,20.726698,0.013378,96.4423,-0.058,1.9266,1.2954,0.4122,2.115179
SDSS J222030.68-004107.9 B,x,J22203068-0041070,335.1279166666667,-0.6852777777777778,60.0,10,L8,,,,,,,17.84,17.18,,,,,1450,,49.0,55.0,,2009.0,,,335.12790186068,-0.68540945904,0.0019986,0.0012926,54.06,2677851743291189888,335.12768953168,0.0856,-0.68616958831,0.0774,13.6148,0.1083,125.7093,177.575,-47.771,0.111,-171.029,0.097,172,-1.0332,154.08,0.0,0.0,31,,,12,0.942,false,2208.08,2.33927,17.327332,1387.03,15.4223,17.483324,1150.32,17.095846,1.149,0.387478,,,0,,,107173351277407351,1237656567585112076,7459754,447531121,0.002986,0.01239,0.010466,17.327332,0.002986,2208.08,-0.023,1.7872,1.572,0.393,0.477039
2MASS J02572581-3105523,,J02572581-3105523,44.3575,-31.097777777777775,10.03,0.67,L8,,,,,,14.67,13.52,12.88,,12.02,11.59,10.6,1400,1.0,,,,2002.0,,,44.35764918804,-31.09783215941,0.007859,0.0027279,153.13,5052876333365036928,44.3608847999,0.2083,-31.09629274552,0.3333,102.6993,0.4759,215.8117,713.154,623.388,0.271,346.377,0.449,908,6.7077,1387.46,2.424,9.353,95,1.1017,0.0692,27,1.162,false,203.93,0.517077,19.913662,40.5635,5.08129,21.318203,399.526,18.244032,2.158,3.074171,,,0,,,70680443599784243,,10831898,,0.003895,0.136036,0.015632,19.888071,0.00385,208.794,0.666,4.3052,7.1183,-0.7146,0.499828
2MASS J23254530+4251488,,J23254530+4251488,351.43875,42.86361111111111,14.0,1,L8,,,,,,15.49,14.45,13.76,,,,,,,,,,2003.0,,,351.43876431114,42.86343341756,0.0219739,0.0185726,62.2,1925025168366253952,351.43852443789,1.1304,42.86216483837,0.8878,69.228,1.4861,46.5836,288.159,-39.56,1.291,-285.43,1.212,217,4.4986,340.08,4.855,4.242,95,1.5307,0.2522,14,1.225,false,81.9288,0.877361,20.903776,58.3069,15.3926,20.924242,169.589,19.174404,2.782,1.749838,,,0,,,159433514386335790,,,,0.011949,0.28664,0.095528,20.899092,0.0119,82.283,1.48,21.2802,19.3635,0.1381,0.64081
DENIS-P J025503.5-470050,,J02550357-4700509,43.765,-47.01416666666667,4.97,0.1,L8,,,20.06,,17.24,13.25,12.2,11.56,12.93,,10.19,,1380,0.9,65.0,,,1999.0,,,43.76538627635,-47.01426580737,0.0039349,0.0028397,163.58,4752399493622045696,43.77198593477,0.1547,-47.01672835623,0.167,205.4251,0.1857,1106.1012,1154.121,1012.445,0.182,-554.031,0.241,385,3.2934,791.86,1.4,11.73,95,0.9507,0.0456,28,1.121,false,684.82,1.69019,18.598427,27.1688,4.51464,21.753365,1403.25,16.880054,2.089,4.87331,,,0,,,,,504473820,,0.003844,0.180438,0.011227,18.572836,0.0038,701.153,0.346,2.9422,3.8588,-0.1772,1.013082
WISEP J060738.65+242953.4,,J06073908+2429574,91.91291666666666,24.499166666666667,7.8,1.28,L8,,22.77,,20.02,,14.22,13.04,12.47,,11.54,10.95,10.14,1460,0.8,,,,2011.0,,,91.91258305135,24.49910946783,0.0087332,0.0057596,109.86,3426333598021539840,91.91027346627,0.4321,24.49769408806,0.3915,138.0616,0.5185,266.2755,570.111,-472.871,0.523,-318.464,0.373,210,2.5636,320.52,1.79,3.981,95,1.0172,0.1115,15,1.128,false,286.18,1.24766,19.54577,19.7096,4.92688,22.101849,572.003,17.854399,2.068,4.24745,,,0,,,137390919107798131,1237673757644620552,,,0.005477,0.27142,0.016221,19.520179,0.005382,293.005,0.413,8.4436,6.1763,-0.264,1.112114
WISE J211219.83-491717.0,,,318.0825,-49.28805555555555,,,L8,,,,,,,,,,,,,,,,,,2015.0,UNCON,,318.08128665368,-49.28803898094,0.005826,0.0051802,117.28,6478874534413253248,318.08127945906,0.2805,-49.2880967873,0.258,0.5295,0.3821,1.3857,13.049,-1.056,0.354,-13.006,0.326,417,0.1426,440.57,0.0,0.0,95,1.2906,0.0775,22,1.004,false,217.321,0.690589,19.844612,63.9709,6.64625,20.823587,223.3,18.875673,1.322,1.947914,,,0,,,,,,,0.004415,0.112837,0.030366,19.836691,0.004396,218.912,-0.006,5.6964,5.3224,-0.0955,2.849712
2MASS J22551861-5713056 B,x,J22551861-5713056,343.8275,-57.218333333333334,11.6,3.1,L8,,,,,,,,,,,,,,,74.0,1.6,7.5,,,,343.82741052326,-57.21838906438,0.0082465,0.005926,146.04,6493448634054105728,343.8257051225,0.3132,-57.21948858031,0.3688,58.5197,0.5333,109.7319,323.055,-207.758,0.416,-247.388,0.474,695,31.3765,3466.93,4.858,62.97,95,0.7636,0.0984,28,1.954,false,332.551,0.957231,19.38272,50.0621,4.70051,21.08977,749.472,17.561007,2.404,3.528763,,,0,,,,,489240399,,0.004166,0.101982,0.019062,19.357129,0.004112,340.483,0.847,6.7365,7.5988,-0.2977,0.26584
SDSSp J083008.12+482847.4,,J08300825+4828482,127.53458333333333,48.480000000000004,13.09,0.59,L8,,23.59,,21.26,,15.44,14.34,13.68,13.69,,,,,,,,,2002.0,,,127.53395668259,48.4798718493,0.0349452,0.0191953,91.34,930822015518055808,127.527140904,1.2677,48.47642773218,0.966,80.6289,2.1127,38.1642,1278.274,-1016.565,2.184,-774.972,1.218,173,1.649,221.71,3.762,2.539,95,1.2501,0.2776,13,1.09,false,96.2601,1.05643,20.72875,31.7213,8.18423,21.585167,190.363,19.04894,2.307,2.536226,,,0,,,166171275291293491,1237651190819324775,,,0.01223,0.280139,0.077065,20.710466,0.012036,97.8949,0.895,34.9385,19.2074,-0.0297,1.56497
2MASS J21265916+7617440 A,x,J21265916+7617440 A,321.74666666666667,76.29555555555555,12.0,2,L8.5,,,,,,,13.59,,,,,,,,,,,,,,321.74644002301,76.29538291637,0.0140978,0.0125215,124.48,2283612503305198208,321.7606300115,0.5802,76.29903870997,0.5178,61.1492,0.5825,104.9702,1117.411,756.414,0.839,822.463,0.811,309,10.7261,757.79,4.671,23.58,95,0.9198,0.1565,24,1.465,false,196.904,1.10221,19.95173,35.8157,6.56262,21.45336,414.49,18.204111,2.287,3.249249,,,0,,,199553217592579332,,,,0.006673,0.198963,0.017901,19.926139,0.006544,201.6,0.769,13.6126,13.0473,-0.1102,0.650868
WISEPC J004928.48+044100.1,,,12.36875,4.683333333333334,19.2,,L9,,,,22.3,,15.85,14.67,14.17,14.13,13.45,12.94,12.24,,,,,,2010.0,,,12.36913737341,4.68366021559,0.0158234,0.0019222,76.41,2552735978704704768,12.36913737341,15.3869,4.68366021559,4.1617,,,,,,,,,68,3.764,114.41,8.704,24.57,3,,,4,,false,61.0651,1.60968,21.222885,24.0199,8.20611,21.887115,120.927,19.541584,2.374,2.345532,,,0,,,,,,,0.028752,0.37094,0.10843,21.222885,0.028752,61.0651,0.99,15.3869,4.1617,0.88,1.821151
2MASS J18401904-5631138,,J18401904-5631138,280.07916666666665,-56.52055555555555,23.0,?,L9,,,,,,16.07,15.52,15.19,,,,,,,,,,,,,280.07930477954,-56.5205454726,0.002368,0.0014746,122.79,6649707133489753600,280.07857574541,0.1199,-56.52131919845,0.1136,2.2879,0.1678,13.6343,196.2,-90.487,0.132,-174.088,0.109,349,0.3385,367.97,0.0,0.0,31,,,19,1.012,false,863.553,1.4168,18.346643,243.862,9.30599,19.370682,902.919,17.358772,1.328,2.01191,,,0,,,,,477851665,,0.003281,0.041527,0.011449,18.346643,0.003281,863.553,-0.009,2.145,1.7836,-0.4085,0.276669
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.93860296348,-29.33397209627,0.0071316,0.0039272,68.8,4060085675090344064,263.93858557462,0.2987,-29.33399458713,0.2169,0.5159,0.3066,1.6825,6.103,-3.411,0.422,-5.06,0.274,256,2.4083,362.14,0.948,2.221,95,1.1617,0.0674,15,1.108,false,420.505,1.9633,19.12794,51.4043,10.0682,21.061045,862.025,17.409096,2.172,3.651949,,,0,,,72792639386229557,,,,0.00577,0.212673,0.040237,19.102349,0.005666,430.534,0.598,6.7989,4.4787,0.3924,0.897662
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.93801250004,-29.33366161787,0.0079721,0.004009,67.59,4060085675046782464,263.93800083129,0.3185,-29.33366894506,0.2258,0.3894,0.322,1.2091,2.821,-2.289,0.469,-1.649,0.293,255,1.5478,329.0,1.031,2.501,95,1.1852,0.0683,14,1.069,false,406.779,1.80482,19.16397,46.3862,11.8193,21.172571,914.259,17.345222,2.362,3.827349,,,0,,,72792639380179912,,,,0.00555,0.276661,0.062062,19.138379,0.005452,416.48,0.764,7.5268,4.793,0.4639,1.29741
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.93904265912,-29.33406097736,0.0018079,8.932E-4,66.46,4060085675046782208,263.93904265912,1.6954,-29.33406097736,1.0918,,,,,,,,,69,1.4134,80.58,2.812,1.436,3,,,6,,false,106.424,1.34457,20.619766,,,,,,,,,,0,,,,,,,0.013991,,,20.619766,0.013991,106.424,,1.6954,1.0918,0.4888,2.310747
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.93764052562,-29.33418492576,0.0111756,0.0053644,66.87,4060085675046783872,263.93761146461,0.442,-29.33421130488,0.3224,-0.1804,0.4336,-0.4161,8.229,-5.7,0.654,-5.935,0.405,247,-0.0553,285.2,0.912,0.8944,95,1.0502,0.0984,14,0.996,false,255.832,1.33745,19.667479,,,,,,,,,,0,,,,,,,0.006309,,,19.667479,0.006309,255.832,,10.4908,6.6041,0.5012,2.421447
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.9377638977,-29.33454008583,0.0091691,0.0046171,68.95,4060085675046784000,263.93775128886,0.3715,-29.33453783041,0.2694,0.5715,0.3743,1.5269,2.525,-2.473,0.543,0.507,0.332,260,1.3756,360.06,1.426,3.642,95,1.0291,0.081,14,1.06,false,349.864,1.16227,19.327618,42.9839,5.86186,21.255276,869.561,17.399645,2.608,3.855631,,,0,,,72792639376889067,,,,0.004539,0.148092,0.032484,19.302027,0.004472,358.208,1.007,8.7164,5.4235,0.445,2.947807
2MASS J17354517-2920017,,J17354517-2920017,263.93833333333333,-29.333888888888886,,,L9,,,19.96,,18.11,13.8,12.5,11.76,,,,,,,,,,2012.0,,,263.9377885077,-29.33320914064,0.0161849,0.0074474,71.81,4060085675046794240,263.93777209798,0.6373,-29.33322826602,0.4286,0.4325,0.6923,0.6248,5.374,-3.219,0.96,-4.303,0.531,226,1.7481,302.56,1.579,2.187,95,1.0144,0.1388,12,1.083,false,206.34,1.31856,19.900908,,,,,,,,,,0,,,72802639378600462,,,,0.007465,,,19.900908,0.007465,206.34,,15.551,8.6939,0.4529,2.985296
2MASS J18214473-1856359,,J18214473-1856359,275.43625,-18.943333333333335,,,L9,,,,,,14.88,13.61,12.78,,,,,,,,,,2012.0,,,275.43641009366,-18.94338927985,0.0313708,0.0025135,46.49,4096103506975404544,275.43641009366,22.8172,-18.94338927985,21.6753,,,,,,,,,52,4.2051,99.59,8.8,4.562,3,,,6,,false,91.1431,1.84886,20.788057,,,,,,,,,,0,,,85262754363668351,,,,0.022196,,,20.788057,0.022196,91.1431,,22.8172,21.6753,0.9872,0.58114
2MASS J18214473-1856359,,J18214473-1856359,275.43625,-18.943333333333335,,,L9,,,,,,14.88,13.61,12.78,,,,,,,,,,2012.0,,,275.43603396551,-18.94297347615,0.0158523,0.008955,66.06,4096103511302023296,275.43602890789,0.8088,-18.94301052927,0.7167,-0.1651,0.9655,-0.171,8.406,-1.076,0.907,-8.337,0.624,133,1.8292,188.66,1.998,2.955,95,0.785,0.1551,11,1.114,false,238.753,1.5761,19.742496,48.525,11.1455,21.123627,395.826,18.254135,1.861,2.869492,,,0,,,85262754360548798,,,,0.007679,0.249393,0.066095,19.718778,0.007534,244.026,0.4,14.9375,10.4096,0.4081,1.489764
2MASS J11263991-5003550,,J11263991-5003550,171.66625,-50.06527777777777,8.2,1.8,L9,,,,,18.29,14,13.28,12.83,,,,,,,,,,2006.0,,,171.66585296712,-50.06523504833,0.0041842,0.0028061,52.31,5372923621096443008,171.65484488705,0.1649,-50.06323211343,0.165,61.8331,0.2501,247.2157,1652.575,-1589.907,0.232,450.777,0.213,449,1.3151,613.26,1.074,3.973,95,1.0786,0.0474,26,1.044,false,431.287,0.939534,19.100452,26.411,3.49542,21.784079,820.398,17.462835,1.963,4.321243,,,0,,,,,,,0.003631,0.143721,0.008849,19.074861,0.003596,441.573,0.299,3.7292,3.3874,0.369,0.930306
WISEA J064750.85-154616.4,,,101.96166666666667,-15.77138888888889,13.9,3.3,L9.5,,,,,,15.31,14.29,13.74,,13.04,12.52,11.59,,,,,,2014.0,,,101.96209277258,-15.77104696747,0.0060682,0.00445,17.37,2947218416923093120,101.96209277258,4.6174,-15.77104696747,5.9418,,,,,,,,,59,10.7807,259.48,22.558,18.76,3,,,7,,false,70.2166,2.4475,21.071268,44.3332,7.97733,21.22172,179.112,19.115086,3.182,2.106634,,,0,,,,,,,0.037945,0.195388,0.09307,21.071268,0.037945,70.2166,1.832,4.6174,5.9418,0.1768,1.922088
51 Eridani b,x,,69.40041666666667,-2.4736111111111114,29.43,0.29,T,,,,,,16.75,16.86,,,,,,675,1.0,6.0,14.0,41.0,2015.0,,,69.40055253787,-2.47354881285,0.0017302,9.669E-4,118.3,3205095125321700480,69.40074849308,0.0693,-2.47383338363,0.0344,33.439,0.0777,430.3142,77.717,44.049,0.101,-64.028,0.075,423,4.1281,26577.17,0.572,716.8,31,,,17,1.145,false,1.65378E8,101281.0,5.141171,1.0482E8,83712.2,5.287437,8.75588E7,4.892146,1.163,0.395291,,,0,,,,,,438008676,0.002834,0.002922,0.004098,5.141171,0.002834,1.65378E8,-0.009,1.5909,1.1822,-0.4569,0.537687
HD 13445 B,x,J02102587-5049258,32.60791666666667,-50.82361111111111,10.87,0.12,T,,,,,,14.7,14.4,14.2,13.7,,,,,,50.0,20.0,,2001.0,,,32.60799111817,-50.82374056627,0.0010684,6.291E-4,149.26,4937000898856156288,32.62294594706,0.0359,-50.82090583926,0.0408,92.9251,0.0461,2016.6344,2219.1,2125.416,0.048,637.975,0.062,265,13.8855,4728.05,0.377,194.2,95,1.5072,0.0114,20,1.667,false,8.27031E7,20495.4,5.893562,4.08182E7,33425.6,6.311407,6.02517E7,5.297973,1.222,1.013434,55.23,0.18,15,5500.0,4.5,,,,,0.002768,0.002928,0.003879,5.893562,0.002768,8.27031E7,0.004,0.7685,0.973,-0.4382,0.495842
HD 13445 B,x,J02102587-5049258,32.60791666666667,-50.82361111111111,10.87,0.12,T,,,,,,14.7,14.4,14.2,13.7,,,,,,50.0,20.0,,2001.0,,,32.60881000706,-50.82398152813,0.0036725,0.0020447,157.81,4937000898856154624,32.62406949533,0.1236,-50.82082319998,0.1694,92.6161,0.1574,588.3757,2282.405,2168.886,0.147,710.848,0.222,285,59.8411,40905.17,1.469,1432.0,95,1.7121,0.0376,21,4.407,false,109499.0,495.418,13.088841,,,,,,,,,,0,,,,,,,0.005632,,,13.088841,0.005632,109499.0,,2.3469,3.4871,-0.3976,2.430138
WISE J211714.44-294005.2,x,,319.31,-29.668055555555558,16.9,1.7,T0,,,,,,15.45,14.65,,14.17,13.56,12.82,11.94,,,7.0,,,2015.0,,,319.31048536065,-29.66841505182,0.0293839,0.005244,66.58,6787923514696999424,319.31048536065,27.0435,-29.66841505182,12.6318,,,,,,,,,42,4.3241,86.87,13.122,5.804,3,,,5,,false,77.1376,3.31601,20.969202,131.984,143.167,20.037241,125.47,19.501549,3.338,0.535692,,,0,,,,,334526,,0.046755,1.177736,0.133535,20.969202,0.046755,77.1376,2.156,27.0435,12.6318,0.8925,1.994985
DENIS-P J020529.0-115925 C,x,J02052940-1159296,31.3725,-11.991666666666665,19.76,0.59,T0,,,,,,,,,,,,,,,42.0,1.3,,2005.0,UNCON,,31.37235466475,-11.99158922515,0.0220974,0.016105,84.2,5151358868307074432,31.37434183794,1.2001,-11.99135695826,0.7857,49.3463,1.6277,30.3167,440.469,437.357,1.378,52.262,1.011,286,13.6718,861.38,7.133,26.51,95,0.9744,0.2432,15,1.629,false,152.081,2.54467,20.232182,42.4503,11.3506,21.26884,472.486,18.061922,3.386,3.206919,,,0,,,93610313736000646,1237673702349865137,14918079,,0.018375,0.290323,0.031489,20.206591,0.017956,155.708,1.875,22.0444,16.1774,0.0645,0.582797
2MASS J20232858-5946519,,J20232858-5946519,305.8691666666667,-59.78111111111111,18.0,?,T1,,,,,,15.53,14.97,14.49,,14.13,13.96,12.91,,,,,,,,,305.86904991043,-59.78109546112,0.0071492,0.0066338,101.25,6467249470987375232,305.86968033253,0.4195,-59.78120253824,0.3905,11.7057,0.6258,18.7063,75.347,71.391,0.432,-24.092,0.409,430,3.3469,588.66,2.274,4.162,95,1.1808,0.1046,22,1.116,false,187.113,0.77658,20.007109,45.2505,5.87263,21.199484,332.925,18.44203,2.021,2.757454,,,0,,,,,485776019,,0.005282,0.140935,0.028262,19.985129,0.005205,190.939,0.576,7.1302,6.6542,-0.0286,0.218924
