Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
SSSPM J0219-1939,,J02192807-1938416,34.86708333333333,-19.645,26.88,2.96,L1,,,,,,14.11,13.34,12.91,,12.55,12.31,12.87,1950,1.0,,,,2002.0,,,34.86689088539,-19.64481982542,0.0038363,0.0028111,44.07,5131045975099845376,34.86788750325,0.1465,-19.64545592392,0.1628,36.5009,0.2383,153.1827,255.115,211.187,0.212,-143.122,0.208,526,2.0451,719.59,1.018,4.689,95,1.1497,0.031,20,1.063,false,440.977,2.94946,19.076326,19.0265,3.26411,22.140144,937.535,17.317926,2.169,4.822218,,,0,,,84420348677745810,,14290772,,0.007767,0.186286,0.008416,19.050735,0.007609,451.494,0.434,3.3466,3.3793,0.3011,0.920032
2MASS J02192196+0506306,,J02192196+0506306,34.84166666666667,5.10861111111111,39.0,5,L1,,,,,,14.97,,13.48,,,,,,,,,,1999.0,,,34.84148716242,5.10847126231,0.01488,0.0103693,69.14,2516832113694329344,34.8423185087,0.657,5.10857693352,0.5501,25.6838,0.6867,37.4004,187.821,186.31,0.912,23.776,0.697,188,3.1523,284.56,3.02,4.428,95,0.9054,0.1736,13,1.168,false,173.757,1.07862,20.087513,19.0007,2.48786,22.141617,388.544,18.274294,2.345,3.867323,,,0,,,114130348419880746,1237678623853117627,,,0.007281,0.142188,0.030732,20.061922,0.007136,177.901,0.743,14.3864,11.0439,0.2386,0.81716
G 124-62 Ba,x,J14413716-0945590,220.405,-9.766388888888889,27.48,2.7,L1,,,19.6,,17.41,14.02,13.19,12.66,,,,,,,36.0,1500.0,,1999.0,,,220.40481966689,-9.76645273586,0.0241587,0.0163566,129.09,6326753222355787648,220.40387315736,1.1511,-9.76654251472,1.1116,32.5052,1.3256,24.5203,210.848,-209.878,1.338,-20.2,1.239,144,40.2983,3324.91,7.89,137.3,95,0.5618,0.3096,13,4.23,false,384.854,9.4298,19.224127,32.5106,7.13028,21.558477,950.903,17.302555,2.555,4.255922,,,0,,,96282204042280622,,110594162,,0.026745,0.238142,0.013449,19.198536,0.026129,394.033,0.9,21.4005,19.8293,-0.3646,0.679826
DENIS-P J0627401-391933,,,96.9175,-39.325833333333335,25.4,4.8,L1,,,,,17.5,14.09,,,12.91,,,,,,,,,2011.0,,,96.91735956263,-39.3258190576,0.0036864,0.0033563,168.59,5573854251459466240,96.9173644869,0.1583,-39.32605986404,0.1747,23.3408,0.1882,124.0263,54.188,0.857,0.209,-54.181,0.228,339,1.6112,516.8,1.152,5.811,95,1.0734,0.0485,26,1.062,false,590.557,1.28047,18.759212,30.2629,4.41526,21.636267,1057.59,17.1871,1.842,4.449167,,,0,,,,,28824271,,0.003624,0.15843,0.008717,18.733621,0.003589,604.641,0.159,3.3698,3.674,-0.0364,0.394452
SDSS J062621.22+002934.2,,J06262121+0029341,96.58833333333334,0.49277777777777776,61.0,4,L1,,22.91,,20.43,,15.93,15.21,14.86,,,,,,,,,,2002.0,,,96.58841341943,0.49279409109,0.028566,0.0188943,127.26,3120367682704782592,96.5885458224,1.1574,0.49273469401,1.1458,15.629,1.4307,10.9237,32.65,29.79,1.597,-13.364,1.423,113,2.5503,155.6,3.79,2.687,95,0.7643,0.3892,10,1.176,false,97.421,1.11748,20.715734,326.484,289.586,19.053886,164.458,19.207756,5.039,-0.15387,,,0,,,108590965884731763,1237646381543524588,,,0.012755,0.963034,0.064989,20.715202,0.012749,97.4688,3.889,25.4513,22.9181,-0.3792,0.29422
SDSS J111143.85+295823.8,,,167.93291666666667,29.973333333333333,74.6,14.3,L1,,,,20.5,,16.57,16.03,15.09,,,,,,,,,,2010.0,,,167.93272253425,29.97327439014,0.0025083,0.0022319,106.82,732620368708308992,167.93272253425,2.4863,29.97327439014,2.2563,,,,,,,,,88,4.0167,145.28,6.687,3.817,3,,,8,,false,64.569,1.77417,21.162308,30.2453,13.5624,21.636898,116.636,19.58081,2.275,2.056088,,,0,,,143961679327068544,1237667255620010933,,,0.02996,0.486869,0.105466,21.162308,0.02996,64.569,0.932,2.4863,2.2563,-0.0647,0.641518
2MASS J23211254-1326282,,J23211254-1326282,350.3020833333333,-13.44111111111111,32.0,2,L1,,,,,,14.5,13.58,13.14,,,,,,,,,,2007.0,,,350.30236166105,-13.44117573351,0.0085101,0.0058772,82.33,2408845056640573056,350.30484153305,0.4332,-13.44189506147,0.3411,35.0942,0.4825,72.7269,566.308,542.688,0.523,-161.846,0.37,163,2.7616,254.19,1.675,3.677,95,1.0894,0.1021,14,1.158,false,347.023,1.65732,19.336472,33.0047,8.18792,21.542103,609.772,17.784977,1.852,3.757126,,,0,,,91873503044060224,,7857374,,0.005872,0.269368,0.018463,19.310881,0.005766,355.299,0.264,8.4704,5.9344,0.0997,1.001918
SDSS J034408.91+011124.9,,J03440892+0111251,56.037083333333335,1.1902777777777778,34.0,?,L1,,21.49,,20.04,18.2,14.74,13.91,13.52,,,,,,,,,,2010.0,,,56.03720838189,1.19030211329,0.0109206,0.0082438,92.08,3269943938874146688,56.03670567603,0.559,1.18952058564,0.4016,29.8407,0.6638,44.9511,209.067,-113.084,0.68,-175.844,0.528,310,16.6882,1022.9,3.843,29.67,95,1.2293,0.1103,16,1.747,false,298.711,1.00716,19.499237,41.3723,8.76651,21.29677,536.672,17.923624,1.935,3.373146,,,0,,,109420560369118257,1237666302168727857,76193492,,0.004582,0.230077,0.021166,19.473646,0.004514,305.836,0.4,10.9175,8.2479,-0.0207,0.458525
2MASSI J0032431-223727,,J00324308-2237272,8.179583333333333,-22.624166666666667,48.0,3,L1,,,,,,15.39,14.51,13.96,,,,,,,,,,2002.0,,,8.1795813938,-22.62420477109,0.014985,0.0114233,58.51,2348571890789987456,8.18005600603,0.6589,-22.62425319413,0.6341,22.1151,0.9503,23.2724,99.17,98.57,0.882,-10.895,0.803,210,3.1543,307.88,2.763,3.702,95,1.1284,0.1598,14,1.158,false,169.207,0.916918,20.116322,41.1089,6.7293,21.303701,291.677,18.585638,1.967,2.718063,,,0,,,80850081797151232,,,,0.006497,0.177751,0.027062,20.094977,0.006393,172.566,0.528,14.1027,12.4963,0.2377,0.137327
2MASS J17422164-0856024,,J17422164-0856024,265.59,-8.93388888888889,54.47,24.12,L1,,,21.09,,19.27,15.79,15.09,14.5,,,,,,,,,,2012.0,,,265.5902119743,-8.9340213584,0.0069588,0.005179,75.42,4165212215115402752,265.59013069138,0.349,-8.93405360361,0.274,1.9337,0.4591,4.2123,19.469,-18.067,0.423,-7.255,0.319,476,1.1421,601.52,1.352,3.192,95,1.0707,0.0704,20,1.037,false,275.043,0.791195,19.588865,35.8217,4.60042,21.453176,402.433,18.236162,1.593,3.217014,,,0,,,97272655901339570,,,,0.004165,0.139464,0.012776,19.563274,0.004111,281.603,0.081,6.8598,5.3095,0.1445,0.892028
