Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2MASS J06405747+0935147,,J06405747+0935147,100.23958333333333,9.5875,760.0,90,M,22.84,,20.77,,18.29,15.49,14.69,,14.18,,,,,,,,,,UNCON,,100.23948772657,9.58741461372,0.0112203,0.007283,115.93,3326696777731712640,100.23947575241,0.4749,9.58739785022,0.4188,1.954,0.5606,3.4856,4.613,-2.657,0.662,-3.772,0.506,195,1.2446,248.15,1.753,2.485,95,1.0565,0.1534,13,1.063,false,204.465,1.23584,19.910816,38.1242,8.52303,21.38554,354.97,18.372416,1.923,3.013125,,,0,,,119501002394905378,,,,0.007117,0.242743,0.05468,19.885225,0.006977,209.342,0.44,10.5811,8.1839,-0.3309,0.457893
KIC 1868650 B,x,J19260944+3720081,291.5391666666667,37.33555555555556,,,M,,,,,,,,,,,,,,,52.0,,7.9E-4,2008.0,,,291.53934288794,37.33560083571,4.35E-4,3.877E-4,2.71,2051770507972278016,291.53935756694,0.0186,37.33556192999,0.0211,1.7169,0.0237,72.386,9.139,2.626,0.024,-8.754,0.027,400,1.9978,1711.71,0.231,37.25,31,,,28,1.071,false,68757.8,61.6609,13.594062,55006.1,105.331,13.487515,24112.1,13.792308,1.151,-0.304792,,,0,,,152802915393683315,1237668680465516177,,637287553,0.002922,0.00348,0.00587,13.594062,0.002922,68757.8,0.004,0.3878,0.4349,0.0109,0.530093
Mayrit 1082188,,J05383446-0253514,84.64375,-2.8975,360.0,65,M0,,,17.8,,17.17,15.55,14.15,12.71,12.65,10.9,9.85,8.09,,,36.0,,,,,,84.64356434662,-2.89764490578,0.0063888,0.0048865,118.1,3216058317107170688,84.64357613487,0.3089,-2.8976458439,0.2845,3.3606,0.3918,8.578,2.657,2.649,0.374,-0.211,0.317,339,27.8235,1788.3,2.801,54.08,95,1.3798,0.0772,21,2.252,false,729.109,11.9282,18.530386,318.622,17.0114,19.080353,918.046,17.340734,1.696,1.739618,,,0,,,104520846435693267,1237667727512830729,27643706,,0.017975,0.058035,0.053231,18.525861,0.017902,732.154,0.396,6.0876,5.2569,-0.2199,0.847162
CFHTWIR-Oph 30,,,246.65333333333334,-24.316666666666666,125.0,?,M3,,,,,,16.24,14.35,13.06,,,,,3380,,,,,2011.0,UNCON,,246.65341476138,-24.31672793357,0.0284821,0.0142477,73.52,6049164499558341504,246.65339519655,1.0146,-24.31684225866,0.5518,6.015,0.7064,8.5155,26.034,-4.012,1.775,-25.723,1.02,383,4.5693,579.51,2.604,5.181,95,1.1372,0.107,12,1.17,false,164.563,5.07135,20.146538,30.8949,3.59646,21.613827,355.137,18.371906,2.346,3.241921,,,0,,,78822466534180167,,,,0.033573,0.126421,0.117984,20.120947,0.032796,168.488,0.829,27.6092,15.873,0.3776,0.346422
2MASS J06475229-2523304 B,x,J06475229-2523304 B,101.96791666666667,-25.391666666666666,240.0,40,M3,,,,,,13.58,12.66,12.88,13.07,,,,,,,260.0,,,,,101.96791273813,-25.39179609689,2.297E-4,1.651E-4,173.65,2920301135326368128,101.96802456106,0.008,-25.39211448442,0.0117,5.7326,0.0142,403.3484,75.157,22.73,0.01,-71.637,0.014,580,6.0452,1509.12,0.113,20.97,31,,,27,1.183,false,1250390.0,4477.1,10.444751,475113.0,5577.26,11.146549,1120580.0,9.624293,1.276,1.522256,,,0,,,,,48845887,,0.004765,0.013047,0.010732,10.444751,0.004765,1250390.0,0.003,0.166,0.229,-0.0737,0.466124
S Ori 18,,J05382568-0231216,84.60708333333334,-2.522777777777778,360.0,65,M3.5,19.99,,18.68,,16.63,14.59,14.09,13.75,13.84,13.41,13.19,,,,64.0,,,,UNCON,,84.60702253624,-2.52269893994,0.0027902,0.0020507,112.53,3216490871853212928,84.60702597819,0.1346,-2.5227019715,0.1141,2.4896,0.1612,15.4452,1.031,0.774,0.165,-0.682,0.131,331,0.843,382.13,0.429,1.569,31,,,21,1.032,false,1003.11,1.75021,18.183996,112.628,9.1304,20.209423,1483.28,16.819841,1.591,3.389582,,,0,,,104970846070073207,,27659332,,0.003344,0.088061,0.011564,18.183996,0.003344,1003.11,0.053,2.6944,2.1751,-0.2162,0.358277
S Ori 16,,J05391510-0240475,84.81291666666667,-2.6799999999999997,360.0,65,M3.5,20.45,,18.73,,17.28,14.67,14.04,13.66,,,,,,,65.0,,,,,,84.81293389308,-2.67990767589,0.0040641,0.0024382,124.63,3216438198374051968,84.81294026969,0.1856,-2.67990919773,0.1604,2.3279,0.2114,11.012,1.474,1.433,0.219,-0.342,0.183,325,1.1103,396.25,0.45,1.535,31,,,19,1.043,false,909.152,1.48565,18.290775,88.5174,9.40223,20.47097,1408.45,16.876041,1.647,3.594929,,,0,,,104780848129174554,,27674613,,0.003277,0.11536,0.007974,18.290775,0.003277,909.152,0.08,3.6197,3.0594,-0.4464,0.33809
Mayrit 799173,,J05385100-0249140,84.7125,-2.8205555555555555,360.0,65,M4.5,20.04,,18.58,,16.9,15.03,14.45,14.14,14.16,14.0,13.82,,,,45.0,,,,UNCON,,84.71251143407,-2.8205593462,0.0030271,0.0022253,116.03,3216060584849379584,84.71250350201,0.1419,-2.82055420465,0.1264,2.5736,0.1844,13.953,2.125,-1.783,0.177,1.157,0.145,291,-0.1173,306.56,0.0,0.0,31,,,18,0.994,false,842.381,1.52103,18.373596,101.254,6.54321,20.325018,1184.53,17.064028,1.526,3.26099,,,0,,,104610847124895771,1237671559157383808,27674145,,0.003382,0.070218,0.008406,18.373596,0.003382,842.381,0.007,2.8901,2.4006,-0.2393,0.043318
S Ori 35,,J05375559-0233053,84.48166666666667,-2.551388888888889,360.0,65,M4.5,21.37,,19.4,,17.57,15.14,14.66,14.3,14.19,13.95,13.39,,,,43.0,,,,UNCON,,84.48164098933,-2.55148425371,0.0049895,0.003754,104.04,3216127315754927616,84.48164750358,0.2369,-2.55149042078,0.1971,2.6777,0.2665,10.0474,2.017,1.464,0.303,-1.388,0.232,366,0.8282,476.54,0.957,2.495,95,1.0903,0.0537,20,1.03,false,421.046,1.35514,19.126541,49.7588,7.69045,21.096367,681.694,17.663921,1.737,3.432446,,,0,,,104930844816468620,,27659130,,0.00445,0.167829,0.021881,19.10095,0.004386,431.088,0.193,4.9254,3.8377,-0.1345,0.355516
Mayrit 790270,,J05375206-0236046,84.46708333333333,-2.601388888888889,360.0,65,M4.5,20.91,,19.2,,17.49,15.14,14.64,14.33,14.2,14.17,13.82,,,,43.0,,,,UNCON,,84.466962271,-2.60129129394,0.0047353,0.003176,117.77,3216126486827855744,84.46696792247,0.2188,-2.60129783828,0.1816,2.6246,0.2365,11.0963,1.945,1.27,0.271,-1.472,0.215,348,-0.1661,417.37,0.685,1.889,95,1.1454,0.0459,20,0.993,false,535.527,1.31397,18.865414,61.1219,6.71676,20.87305,829.641,17.45067,1.663,3.42238,,,0,,,104870844669558867,,27658920,,0.003833,0.119345,0.008749,18.839823,0.00379,548.299,0.121,4.4435,3.5729,-0.3203,0.559458
Mayrit 588270,,J05380552-0235571,84.52291666666666,-2.5991666666666666,360.0,65,M4.5,21.41,,19.6,,18.0,15.28,14.8,14.42,14.24,13.95,13.36,,,,41.0,,,,UNCON,,84.52300610143,-2.59920170008,0.0073098,0.0040476,119.67,3216114637013006208,84.52300921992,0.3177,-2.59920706827,0.266,2.5488,0.3348,7.6126,1.396,0.701,0.404,-1.208,0.303,324,1.3027,422.46,1.152,2.977,95,1.1163,0.0671,19,1.051,false,390.767,1.27232,19.207571,55.7203,6.32263,20.973509,614.744,17.776161,1.716,3.197348,,,0,,,104880845229981377,,27658959,,0.004482,0.123231,0.01627,19.18198,0.004417,400.087,0.206,6.6601,5.0458,-0.4742,0.345478
S Ori J053911.4-023333,,J05391139-0233327,84.7975,-2.5591666666666666,360.0,65,M5,19.94,,18.32,,16.54,14.45,13.93,13.57,,,,,,,82.0,,,,UNCON,,84.79750730583,-2.55911973694,0.0024304,0.0019948,143.31,3216487607678004992,84.79751325165,0.1173,-2.55912089475,0.1205,2.6056,0.1627,16.0198,1.362,1.336,0.133,-0.261,0.137,353,2.4703,463.23,0.42,1.931,31,,,19,1.094,false,1182.19,1.82105,18.005651,102.633,6.24625,20.310328,1757.68,16.635548,1.574,3.67478,,,0,,,104920847974969502,,27685641,,0.003223,0.066137,0.006796,18.005651,0.003223,1182.19,-0.004,2.1604,2.2845,-0.1871,0.170978
L Ori134,,J05352285+0955070,83.84541666666667,9.91861111111111,400.0,,M5,,,19.91,,17.9,15.54,14.94,14.67,,,,,2900,4.56,63.0,,,,,,83.84522191893,9.91864907246,0.0078876,0.0054966,116.44,3337992064976627200,83.84522811906,0.417,9.91863856125,0.3422,2.5662,0.5246,4.8914,2.735,1.374,0.461,-2.365,0.361,333,0.1773,391.04,1.097,1.721,95,1.0727,0.082,19,1.006,false,254.273,0.811914,19.674114,50.3925,10.2206,21.082626,394.836,18.256855,1.751,2.825771,,,0,,,119900838452212883,,,,0.004428,0.220226,0.027557,19.651061,0.004372,259.73,0.296,7.4745,6.0464,-0.2823,0.704005
Mayrit 1717222,,J05372761-0257100,84.365,-2.952777777777778,360.0,65,M5,20.34,,18.86,,17.23,15.12,14.61,14.33,,14.14,13.88,,,,44.0,,,,UNCON,,84.3651001534,-2.95278922437,0.0027984,0.0024653,82.96,3216098208762701440,84.36509152774,0.1456,-2.95278451764,0.1336,3.2989,0.1818,18.1474,2.209,-1.938,0.172,1.059,0.149,378,-0.053,431.95,0.466,1.404,95,1.2167,0.0348,19,0.997,false,686.644,1.18413,18.595537,85.2444,7.11787,20.511877,1034.08,17.21151,1.63,3.300367,,,0,,,104450843650837104,1237671558620578669,27642927,,0.003331,0.090701,0.0119,18.569946,0.003307,703.02,0.105,2.7937,2.4706,0.0309,0.362424
V2737 Ori,,J05384928-0223575,84.70541666666666,-2.3994444444444443,360.0,65,M5,19.39,,17.67,,16.57,14.46,13.91,13.45,13.2,12.8,12.24,10.57,,,75.0,,,,UNCON,,84.70534600245,-2.39934023715,0.002381,0.001834,139.53,3216505406022778368,84.7053515985,0.1087,-2.39934098397,0.1171,2.3528,0.1599,14.7099,1.269,1.258,0.128,-0.168,0.13,334,0.246,361.56,0.257,0.8049,31,,,18,1.009,false,1130.96,19.3921,18.053753,141.84,13.8425,19.959044,1670.65,16.690681,1.603,3.268362,,,0,,,105120847053371237,1237671559157187273,27686564,,0.01882,0.105996,0.052001,18.053753,0.01882,1130.96,0.082,2.0819,2.1675,-0.2523,0.45314
S Ori J053826.1-024041,,J05382623-0240413,84.60916666666667,-2.6780555555555554,360.0,65,M5,20.45,,19.08,,17.28,14.91,14.28,13.92,,13.71,13.37,,,,57.0,,,,,,84.60931887061,-2.67816587512,0.0042428,0.0031026,107.09,3216110234671579648,84.60932454758,0.2084,-2.67816828092,0.1714,2.5699,0.2277,11.2843,1.386,1.276,0.253,-0.541,0.193,279,0.8015,351.48,0.655,2.318,95,1.189,0.0436,17,1.033,false,688.916,1.44963,18.591951,65.3749,8.09157,20.800014,1086.35,17.157969,1.672,3.642046,,,0,,,104780846093176637,,,,0.003579,0.134413,0.026163,18.56636,0.003546,705.346,0.099,4.1567,3.2171,-0.176,0.676243
Mayrit 487350,,J05383888-0228016,84.66208333333333,-2.4672222222222224,360.0,65,M5,20.2,,18.77,,16.99,15.25,14.74,14.42,,14.27,14.0,,,,41.0,,,,UNCON,,84.66204220286,-2.46714406982,0.0031895,0.0029731,107.12,3216492899077902336,84.6620355395,0.1657,-2.46714408585,0.1567,2.5236,0.2143,11.7768,1.498,-1.498,0.195,-0.004,0.18,347,-0.0179,435.91,0.698,2.901,95,1.1377,0.0389,19,0.998,false,685.937,1.21042,18.596655,112.397,9.81588,20.211657,982.648,17.2669,1.596,2.944758,,,0,,,105030846620189872,1237671559157252583,27685560,,0.003356,0.094861,0.011182,18.571835,0.003331,701.799,0.124,3.1713,2.9925,-0.0395,0.31787
2MASS J06404164+0931431,,J06404164+0931431,100.17333333333333,9.528611111111111,760.0,90,M5,21.23,,19.62,,17.57,15.67,15.08,,14.69,,,,,,,,,,UNCON,,100.1735130975,9.52866181541,0.0062465,0.003767,124.72,3326690318100897408,100.17350414363,0.24,9.5286447052,0.2252,0.9007,0.2932,3.0722,4.332,-1.987,0.345,-3.85,0.291,190,-1.2975,194.64,0.0,0.0,95,1.1047,0.0805,14,0.931,false,405.538,1.39981,19.16729,60.5403,9.24187,20.88343,619.008,17.768656,1.676,3.114775,,,0,,,119431001735284869,,,,0.004652,0.165768,0.018585,19.141699,0.004582,415.21,0.178,5.5646,4.7163,-0.4429,0.663812
2MASS J16263135-2425302,,J16263135-2425302,246.63083333333333,-24.425,125.0,?,M5,,,,,18.9,14.72,12.73,11.72,,,,,,,,,,1999.0,,,246.63069450806,-24.42508562642,0.0435564,0.0236576,129.13,6049161338462378752,246.63064415757,1.5705,-24.42519684902,1.0158,2.7093,2.0623,1.3137,27.068,-10.315,2.299,-25.025,2.097,245,10.339,565.52,4.512,6.034,95,1.6402,0.2981,12,1.507,false,84.3832,0.855488,20.871727,43.3729,8.48048,21.245495,168.95,19.178501,2.516,2.066994,,,0,,,78692466306600248,,,,0.011347,0.212307,0.08622,20.86175,0.011249,85.1622,1.172,36.939,33.0508,-0.5363,0.549623
2MASS J08540240-3051366 B,x,J08540240-3051366 B,133.51,-30.860277777777778,10.0,4,M5,,,,,,12.08,11.43,,10.99,,,,,,40.0,17.0,,,,,133.50995934709,-30.86016324821,4.013E-4,2.462E-4,27.15,5641353923129557504,133.50853700966,0.0127,-30.86019916516,0.017,33.1529,0.0226,1466.6243,274.836,-274.717,0.018,-8.08,0.023,712,13.163,5248.64,0.225,97.64,31,,,28,1.369,false,285875.0,162.612,12.046927,46439.6,105.739,13.67132,382649.0,10.790895,1.501,2.880425,,,0,,,70961335089018012,,42264508,,0.002824,0.003728,0.004319,12.046927,0.002824,285875.0,0.038,0.2856,0.3744,0.3815,0.431022
2MASS J08540240-3051366 B,x,J08540240-3051366 B,133.51,-30.860277777777778,10.0,4,M5,,,,,,12.08,11.43,,10.99,,,,,,40.0,17.0,,,,,133.51019204132,-30.86059058045,0.0019386,0.0010761,36.38,5641353923129557632,133.50873624256,0.0659,-30.86065465108,0.0782,32.5804,0.1061,307.0013,281.548,-281.179,0.089,-14.414,0.104,584,8.1721,7345.63,0.959,163.9,95,1.1456,0.0172,26,1.249,false,11774.7,16.0669,15.509996,,,,,,,,,,0,,,70961335092147386,,,,0.003128,,,15.509996,0.003128,11774.7,,1.4397,1.6862,0.5115,1.272903
CHAHA9,,,166.8275,-77.54777777777778,162.5,,M5.5,,,,,,,,,,,,,2800,,,,,,,,166.82740038191,-77.54765602075,0.0044959,0.0038611,130.45,5201153237374251520,166.82691462036,0.1939,-77.54765956381,0.2188,5.0627,0.2342,21.6189,23.581,-23.567,0.264,-0.797,0.258,350,3.9815,528.94,1.29,4.892,95,1.1989,0.054,26,1.155,false,457.303,1.1958,19.036858,45.1152,5.46499,21.202734,825.14,17.456575,1.903,3.746159,,,0,,,,,460160050,,0.003956,0.131549,0.011758,19.011267,0.003909,468.209,0.316,4.2403,4.1403,-0.1492,0.445094
ISO 138,,,167.07916666666668,-77.51138888888889,160.0,,M5.5,,,,,,,,,,,,,2900,,3.0,,,2002.0,,,167.07695494486,-77.51135878287,0.0028985,0.0024899,140.33,5201153585267789056,167.07643978699,0.1297,-77.51135422601,0.1354,5.3563,0.1419,37.7515,25.086,-25.065,0.166,1.025,0.169,342,1.5791,587.01,1.011,8.364,95,1.0756,0.0346,26,1.061,false,958.783,1.74914,18.233067,60.8991,5.64085,20.877016,1658.27,16.698755,1.793,4.178261,,,0,,,,,,,0.003393,0.100606,0.007074,18.207476,0.003367,981.65,0.148,2.664,2.7394,-0.1483,1.7252
CFHT-Pl -7,,J03520581+2417314,58.024166666666666,24.291944444444447,136.2,1.2,M5.5,,,19.32,,17.34,15.26,14.57,,14.26,,,,,,79.0,,,,UNCON,,58.02424086589,24.29200361942,0.004737,0.0029616,91.88,66592265333776512,58.02432721972,0.2237,24.29180548155,0.1408,7.0598,0.245,28.8144,47.97,17.709,0.296,-44.581,0.19,375,-0.5999,432.02,0.486,0.9529,95,1.1556,0.0388,17,0.977,false,549.356,1.12917,18.837732,83.6746,9.61143,20.532059,856.827,17.415663,1.712,3.116396,,,0,,,137150580242820835,,,572030448,0.003546,0.124746,0.014894,18.812141,0.003513,562.459,0.214,4.7355,2.9641,-0.032,0.323509
2MASS J11085497-7632410,,J11085497-7632410,167.22916666666666,-76.54472222222222,60.0,15,M5.5,,,18.62,,16.65,13.06,12.06,11.44,,,,,,,,,,2004.0,UNCON,,167.22899973419,-76.54476352601,0.0013466,0.0011946,26.81,5201351085045200640,167.22857330914,0.0589,-76.54476793239,0.063,5.1702,0.0689,75.0595,22.347,-22.325,0.077,-0.991,0.083,332,-0.8469,471.73,0.321,2.741,31,,,27,0.966,false,2426.69,7.44347,17.224829,132.935,6.18371,20.029448,4019.63,15.737431,1.711,4.292017,,,0,,,,,,,0.004322,0.050582,0.013575,17.224829,0.004322,2426.69,0.05,1.2271,1.3171,0.0962,0.204116
S Ori J053838.6-024157,,J05383858-0241558,84.66083333333333,-2.6988888888888893,360.0,65,M5.5,19.8,,18.28,,16.47,14.56,13.97,13.65,,13.5,13.21,,,,70.0,,,,,,84.66081009102,-2.69886816392,0.0030021,0.0018155,116.09,3216109723570616320,84.66081457378,0.13,-2.69887359689,0.1099,2.4494,0.1479,16.5573,1.584,1.008,0.171,-1.222,0.127,268,0.2621,287.41,0.0,0.0,31,,,19,1.01,false,1231.23,2.25238,17.961521,134.762,9.02562,20.014624,1770.45,16.62769,1.547,3.386934,,,0,,,104760846607871800,,27674427,,0.003397,0.07277,0.008174,17.961521,0.003397,1231.23,0.01,2.812,2.0979,-0.3827,0.112036
Oph 16 B,x,J16233609-2402209,245.90041666666667,-24.039166666666667,125.0,,M5.5,,,17.4,,14.68,11.44,10.61,,10.06,,,,,,73.0,212.0,,,,,245.90050071628,-24.03911122403,0.0020959,0.0012849,106.96,6049399966845155840,245.90046800466,0.0943,-24.03922876754,0.0479,6.9652,0.0998,69.7706,27.288,-6.722,0.125,-26.447,0.086,399,-2.7837,1691.77,0.591,40.07,95,1.1099,0.0145,15,0.902,false,7652.55,7.19667,15.977852,636.494,16.5261,18.329058,15540.1,14.269264,2.114,4.059794,,,0,,,79152459003563250,,170765580,,0.002938,0.028328,0.026824,15.961687,0.002933,7767.33,0.486,2.0395,1.3727,-0.2733,0.340879
Oph 16 B,x,J16233609-2402209,245.90041666666667,-24.039166666666667,125.0,,M5.5,,,17.4,,14.68,11.44,10.61,,10.06,,,,,,73.0,212.0,,,,,245.9001996943,-24.03948721946,0.0027746,0.0015533,116.67,6049399971141149312,245.9001582296,0.1176,-24.03960411245,0.0651,6.7733,0.1374,49.2862,27.647,-8.52,0.163,-26.301,0.119,361,-1.1478,1059.59,0.593,23.4,95,1.1241,0.0161,13,0.956,false,4939.75,6.59066,16.453104,,,,,,,,,,0,,,,,,,0.003113,,,16.453104,0.003113,4939.75,,2.5755,1.8649,-0.4414,1.356674
DENIS J160334.7-182930,,J16033471-1829303,240.89458333333334,-18.491666666666667,145.0,,M5.5,,,,,,,,,,,,,2800,,,,,,,,240.89462747303,-18.49181716859,0.0032691,0.0016742,93.55,6249049910993943296,240.89458384734,0.1387,-18.49190882305,0.0889,6.3648,0.1539,41.3481,22.626,-9.309,0.203,-20.622,0.109,465,35.3076,3704.79,1.049,85.75,31,,,16,2.366,false,5684.12,11.7371,16.300709,522.278,10.2886,18.543787,9286.3,14.828288,1.726,3.715499,,,0,,,85812408945910100,,167891344,,0.003552,0.02157,0.005089,16.300709,0.003552,5684.12,0.143,3.2645,1.6832,-0.0886,0.562374
S Ori 20,,J05390758-0229055,84.78166666666667,-2.485,360.0,65,M5.5,20.66,,19.02,,17.18,14.96,14.34,13.9,,13.73,13.51,,,,57.0,,,,UNCON,,84.78159487692,-2.48490507389,0.0042266,0.0029329,136.01,3216492113099177984,84.78182735575,0.1879,-2.48492947858,0.1862,7.5689,0.2335,32.412,52.546,52.259,0.221,-5.491,0.219,301,1.7153,371.94,0.548,1.635,31,,,17,1.07,false,744.423,1.48185,18.507818,81.6764,9.24103,20.5583,1121.55,17.12335,1.616,3.43495,,,0,,,105010847817248539,1237671559157252586,27685729,,0.003502,0.122874,0.010594,18.507818,0.003502,744.423,0.072,3.6151,3.6602,-0.3498,0.42831
Mayrit 994201,,J05382089-0251280,84.58708333333334,-2.8577777777777778,360.0,65,M5.5,20.88,,19.18,,17.12,14.77,14.31,13.93,13.87,13.69,13.39,,,,52.0,,,,UNCON,,84.5870681121,-2.85780835718,0.0034311,0.0025605,115.13,3216059485338402432,84.58707392266,0.1729,-2.85781183359,0.1491,2.5578,0.2,12.7868,1.522,1.306,0.2,-0.782,0.165,355,-0.6651,388.97,0.401,0.8394,31,,,21,0.974,false,659.748,1.29365,18.638922,65.5947,5.06135,20.796371,1048.64,17.196333,1.689,3.600039,,,0,,,104570845870651079,1237667727512830866,27644540,,0.003482,0.083823,0.010092,18.638922,0.003482,659.748,0.122,3.2912,2.738,-0.2225,0.122939
Mayrit 1045207,,J05381330-0251329,84.55541666666667,-2.859166666666667,360.0,65,M5.5,20.18,,18.57,,16.72,14.51,14.03,13.69,13.63,13.54,13.28,,,,71.0,,,,UNCON,,84.55545297663,-2.85918839057,0.0026707,0.0021454,89.41,3216053781621737088,84.55545864379,0.1323,-2.85919343153,0.115,2.8766,0.1459,19.7094,1.705,1.274,0.163,-1.134,0.129,347,0.118,392.08,0.274,0.6774,31,,,21,1.004,false,1013.21,1.61611,18.173115,105.783,10.2279,20.277504,1536.26,16.781736,1.621,3.495768,,,0,,,104560845554539419,1237667727512830868,27644534,,0.003254,0.105015,0.010556,18.173115,0.003254,1013.21,0.068,2.6707,2.1454,0.0045,0.152185
Mayrit 1642101,,J05403249-0240598,85.13541666666667,-2.683333333333333,360.0,65,M5.5,,,,,17.01,14.7,14.07,13.71,,13.52,13.24,,,,61.0,,,,UNCON,,85.13538673925,-2.68330955964,0.0034777,0.0030856,113.04,3216429058684647040,85.1353961879,0.179,-2.68331246028,0.1664,2.4794,0.2443,10.1507,2.222,2.124,0.211,-0.653,0.189,306,1.5249,451.62,0.842,4.269,95,1.1111,0.0426,19,1.062,false,690.703,1.58077,18.589138,76.1803,6.95364,20.633936,1132.7,17.11261,1.75,3.521326,,,0,,,104780851353850489,,27676812,,0.00371,0.099144,0.012174,18.563547,0.003672,707.177,0.194,3.4205,3.1489,-0.0861,0.137503
CFHTWIR-Oph 31,,J16263780-2439031,246.6575,-24.65083333333333,125.0,?,M5.5,,,,19.28,,14.98,13.57,12.85,,,,,3090,,,,,2011.0,UNCON,,246.65754394953,-24.65086525355,0.0237078,0.0120505,119.59,6049120519093106560,246.65751961864,0.756,-24.65098440578,0.4431,6.3229,0.8988,7.0351,27.267,-4.976,1.337,-26.809,0.989,454,4.1565,652.94,3.222,4.513,95,1.1938,0.1422,15,1.141,false,143.486,0.733701,20.29534,32.8027,5.32789,21.548767,262.318,18.700827,2.057,2.84794,,,0,,,78412466575039201,,,,0.006198,0.17637,0.029425,20.271947,0.006092,146.611,0.598,21.4581,15.7106,-0.5309,0.184074
USco 112,,,240.11125,-20.942222222222224,145.0,,M5.5,,,,,,,,,,,,,3000,,,,,,,,240.11126019609,-20.94211643207,0.0019543,0.0011232,91.64,6246670567831565824,240.11121134999,0.0873,-20.94219382737,0.0569,6.0316,0.0942,64.0445,20.214,-10.264,0.122,-17.414,0.073,351,0.5499,446.05,0.271,2.242,31,,,14,1.02,false,2628.51,3.59184,17.138092,219.932,8.89315,19.482819,3985.23,15.746762,1.6,3.736056,,,0,,,82862401112249733,,167415091,,0.003129,0.043991,0.004949,17.138092,0.003129,2628.51,0.014,1.9538,1.1242,-0.0333,0.382384
UScoCTIO 55 B,x,,240.69,-23.080555555555556,145.0,2,M6,,,,,,12.46,11.84,11.5,,,,,,,73.0,17.63,255.0,,UNCON,,240.69064500304,-23.0808262578,0.0038345,0.0019737,89.42,6243124436675563904,240.69053170507,0.1698,-23.08097254842,0.1043,9.8363,0.1928,51.0137,40.415,-23.451,0.239,-32.915,0.128,389,42.5702,4578.5,1.207,106.0,31,,,16,2.878,false,6788.85,25.9283,16.107876,621.202,9.55701,18.35546,10931.0,14.651246,1.702,3.704213,,,0,,,80302406905813222,,167426282,,0.004979,0.016935,0.004997,16.107876,0.004979,6788.85,0.12,3.8344,1.974,0.0146,2.347937
CFHTWIR-Oph 107,,J16284870-2426317,247.20291666666665,-24.442222222222224,125.0,?,M6,,,,,,14.31,13.6,13.13,,,,,2960,,,,,2012.0,,,247.20297295385,-24.44214130492,0.0061144,0.0044401,94.69,6049103304863521792,247.20295391518,0.2888,-24.44226043605,0.1789,6.6971,0.3243,20.6482,27.087,-3.9,0.379,-26.805,0.278,287,3.6938,450.68,1.427,5.739,95,1.1698,0.0664,17,1.159,false,502.9,1.34738,18.933662,38.8133,4.68653,21.36609,891.145,17.373024,1.849,3.993067,,,0,,,78662472029259660,,,,0.004007,0.131127,0.011621,18.908071,0.003958,514.894,0.23,6.1047,4.4534,-0.053,0.344801
S Ori J053825.4-024241,,J05382543-0242412,84.60583333333334,-2.711388888888889,360.0,65,M6,20.33,,19.08,,17.3,14.88,14.16,13.57,,13.03,12.44,10.5,,,52.0,,,,,,84.60598884867,-2.71146278192,0.0053005,0.003115,121.03,3216110028512983040,84.60599319555,0.2351,-2.71146697696,0.2088,2.4437,0.2443,10.0013,1.358,0.977,0.293,-0.944,0.229,336,2.6395,466.4,1.021,4.507,95,1.196,0.0487,19,1.103,false,557.748,5.5503,18.821272,88.4619,12.3224,20.471651,861.568,17.409672,1.703,3.061979,,,0,,,104740846059786683,,27644998,,0.01115,0.151264,0.041056,18.795681,0.010907,571.051,0.213,4.8174,3.8197,-0.4415,0.619274
