Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
CFHT-Tau 12,,J04330945+2246487,68.28958333333334,22.780277777777776,140.0,15,M6.5,,,,,16.26,13.15,12.14,11.55,,,,,2920,,82.0,,,,,,68.28942140239,22.78017802913,0.0058809,0.0044759,80.38,145947077527182848,68.28948068776,0.2708,22.78009871633,0.1783,5.671,0.3063,18.5115,21.673,12.299,0.364,-17.845,0.282,277,12.6713,1511.17,2.053,44.6,95,0.9333,0.0618,16,1.59,false,1134.59,5.72965,18.05027,40.3712,5.99468,21.323364,2176.83,16.403336,1.954,4.920029,,,0,,,135330682894216712,1237664089144099075,,564036919,0.006136,0.161244,0.019631,18.024679,0.006022,1161.65,0.205,5.8463,4.521,0.0907,0.6464
S Ori 21,,J05393432-0238468,84.89291666666666,-2.6463888888888887,360.0,65,M6.5,21.12,,19.27,,17.48,14.76,14.19,13.79,,13.64,13.31,,,,57.0,,,,UNCON,,84.89304299712,-2.64637157137,0.0036226,0.0028492,142.47,3216439057367561472,84.89304979347,0.1794,-2.6463771099,0.1855,2.5052,0.2527,9.9144,1.971,1.528,0.194,-1.246,0.201,334,1.2461,409.91,0.637,2.013,31,,,19,1.048,false,659.728,1.69888,18.638954,56.2482,6.57482,20.96327,1048.64,17.19633,1.675,3.766941,,,0,,,104820848930334794,1237667728049636049,27685834,,0.003925,0.126942,0.013228,18.638954,0.003925,659.728,0.085,3.1584,3.3565,-0.2281,0.458562
S Ori 25,,J05390894-0239579,84.7875,-2.666111111111111,360.0,65,M6.5,21.09,,19.34,,17.37,14.66,14.14,13.74,,13.48,13.14,,,,61.0,,,,,,84.78729061731,-2.6661073382,0.0050987,0.0038577,127.07,3216438095295855232,84.78729492852,0.2467,-2.66611025791,0.2285,2.556,0.3218,7.9415,1.171,0.969,0.288,-0.657,0.261,337,3.2633,569.95,1.273,5.989,95,1.0605,0.0559,21,1.128,false,495.113,2.04029,18.950607,64.905,7.73625,20.807846,846.496,17.428833,1.841,3.379013,,,0,,,104800847872671110,,,,0.005255,0.129443,0.018869,18.925016,0.005166,506.921,0.304,4.686,4.3497,-0.2623,0.753084
S Ori 14,,J05393759-0244304,84.90666666666667,-2.7416666666666667,360.0,65,M6.5,20.39,,18.69,17.18,16.82,14.38,13.82,13.38,,,,,,,80.0,,,,UNCON,,84.90664278787,-2.74180682095,0.0027149,0.0017988,125.38,3216433838982793216,84.90665139876,0.1272,-2.74181072022,0.1181,2.4115,0.14,17.2249,2.125,1.935,0.149,-0.877,0.129,340,-0.5765,382.04,0.077,0.05849,31,,,20,0.977,false,1053.06,2.12699,18.131235,84.0496,8.57559,20.527203,1630.54,16.717068,1.628,3.810135,,,0,,,104710849066400266,1237667728049636084,27674980,,0.003522,0.110813,0.008459,18.131235,0.003522,1053.06,0.033,2.4463,2.1499,-0.3712,0.51181
GM Tau,,J04382134+2609137,69.58875,26.153888888888886,151.0,12,M6.5,17.58,,16.0,,15.04,12.8,11.59,10.63,,,,,2940,,80.0,,,,,,69.58890973635,26.15382647934,0.0013824,9.128E-4,52.39,148449845165337600,69.58893967777,0.0548,26.15372694431,0.0396,7.1752,0.0594,120.8496,23.197,6.047,0.076,-22.395,0.069,258,1.7966,402.58,0.264,5.032,31,,,16,1.08,false,6006.77,164.88,16.240765,659.124,61.293,18.291124,9143.41,14.845125,1.632,3.445999,,,0,,,139380695888775033,1237660761073254436,,581044923,0.02993,0.101003,0.088438,16.240765,0.02993,6006.77,0.086,1.2286,1.1112,0.3817,0.562951
MHO Tau 8 B,x,J04330197+2421000,68.25833333333334,24.35,142.0,3,M6.5,17.95,,16.3,,,10.86,10.14,9.73,,,,,,,73.0,6.2,53.0,,,,68.25821510348,24.35001953547,0.0015271,0.0011263,67.45,147801339463632000,68.25824924916,0.0723,24.3499289096,0.046,7.7442,0.0813,95.2794,21.559,6.999,0.091,-20.391,0.074,271,7.7594,1792.95,0.542,54.93,31,,,16,1.353,false,16763.7,16.2799,15.126443,816.048,7.44231,18.059252,27779.2,13.638595,1.706,4.420657,,,0,,,137220682582440510,1237660758925312056,,572040979,0.00295,0.010287,0.004249,15.126443,0.00295,16763.7,0.027,1.4751,1.1937,0.2139,0.394091
USD155556,,,238.98333333333332,-20.755277777777778,145.0,,M6.5,,,,,,,,,,,,,3400,,,,,,,,238.98335051198,-20.75522103985,0.002927,0.0019346,93.96,6246820788606409600,238.98328567212,0.1432,-20.75532093054,0.1009,6.8477,0.1505,45.5056,26.292,-13.642,0.181,-22.475,0.125,319,3.3177,649.7,0.84,11.74,95,1.1351,0.0266,18,1.134,false,1673.66,5.42241,17.628202,99.4507,8.65716,20.344522,2783.77,16.136314,1.723,4.208208,,,0,,,83092389833244007,,167375066,,0.004468,0.094554,0.012914,17.602611,0.004404,1713.57,0.074,2.923,1.9406,-0.0587,0.212285
USD155601,,,239.00416666666666,-23.635555555555555,145.0,,M6.5,,,,,,,,,,,,,2800,,,,,,,,239.00433621744,-23.63559535662,0.0026488,0.001554,95.04,6237048805996330624,239.00424552719,0.1319,-23.63571528257,0.0744,8.1419,0.1368,59.5152,32.826,-18.694,0.163,-26.983,0.1,394,3.3258,617.34,0.634,6.003,31,,,18,1.121,false,1426.93,2.45033,17.801363,110.274,7.76354,20.23236,2320.96,16.333727,1.704,3.898634,,,0,,,79632390042917543,,121446288,,0.003327,0.076489,0.007405,17.801363,0.003327,1426.93,0.097,2.6421,1.5654,-0.0974,0.577246
S Ori 27,,J05381741-0240242,84.5725,-2.6733333333333333,360.0,65,M6.5,21.02,,19.21,,17.25,14.83,14.31,14.09,,13.79,13.42,,,,52.0,,,,,,84.57256072523,-2.67341577505,0.0041741,0.0026562,112.81,3216110372110391040,84.57256572647,0.1903,-2.67341850997,0.1575,2.3454,0.2215,10.5863,1.281,1.124,0.244,-0.615,0.177,305,-1.3096,304.85,0.0,0.0,31,,,19,0.946,false,652.096,1.49591,18.651588,64.1952,9.76267,20.819786,997.244,17.250893,1.628,3.568893,,,0,,,104790845725482341,,27644985,,0.003714,0.16514,0.010393,18.651588,0.003714,652.096,0.065,3.983,2.935,-0.3169,0.368471
CFHTWIR-Oph 106,,,247.12458333333333,-24.901666666666664,125.0,?,M6.5,,,,,,15.36,14.51,13.85,,,,,,,,,,2012.0,,,247.12468440337,-24.90176711169,0.038756,0.0241683,92.46,6049073549330631808,247.12464424415,1.418,-24.90185488547,0.8052,6.9867,1.4506,4.8165,21.382,-8.196,2.456,-19.749,1.534,191,3.9918,289.14,4.436,4.248,95,0.9054,0.2416,12,1.213,false,98.0373,0.92887,20.708889,33.6886,9.26788,21.519833,185.513,19.07696,2.236,2.442873,,,0,,,78112471246678133,,,,0.01065,0.298703,0.067956,20.692236,0.010498,99.5526,0.838,38.7343,24.2032,-0.0419,0.489564
