Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
2MASS J18463633-1304507,,J18463633-1304507,281.65125,-13.080833333333333,41.67,19.84,L1.5,,,,,18.99,15.44,14.58,14.18,,,,,,,,,,2012.0,,
WISE J090009.49+320504.2,,,135.03958333333333,32.08444444444444,45.2,7.5,L1.5,,,,,,15.76,15.03,,14.41,13.96,13.44,>11.97,,,,,,2015.0,,
SDSS J205715.39+171515.7,,J20571538+1715154,314.31416666666667,17.254166666666666,57.5,4,L1.5,,,,,19.4,15.97,15.19,14.5,,,,,,,,,,2000.0,,
ULAS J083258.66+011241.9,x,,128.24458333333334,1.2116666666666667,,,L1.5,,,,,,18,17.14,,16.55,,,,,,,,,2015.0,,
ULAS J083258.66+011241.9 B,x,,128.24458333333334,1.2116666666666667,,,L1.5,,,,,,,,,,,,,,,,,,2015.0,UNCON,
ULAS J211045.61+000557.0,,,317.69,0.09916666666666667,,,L1.5,,,,,,,,,,,,,,,,,,,,
WISE J051557.68+310101.8,,,78.99041666666666,31.01722222222222,65.7,11.2,L1.5,,,,,,16.67,15.96,,15.3,14.88,14.25,>12.26,,,,,,2015.0,,
2MASS J07470792-3753586,,J07470792-3753586,116.78291666666667,-37.89972222222222,38.9,17.95,L1.5,,,,,18.76,15.22,14.59,14.1,,,,,,,,,,2012.0,,
2MASS J07464256+2000321 B,x,J07464256+2000321,116.6775,20.00888888888889,12.21,0.04,L1.5,,,,,,12.79,12,,11.41,,,,2060,0.97,63.0,2.897,12.71,2000.0,,
2MASSW J2130446-084520,,J21304464-0845205,322.68583333333333,-8.755833333333333,25.0,2,L1.5,,,,,,14.14,13.33,12.82,,,,,,,,,,2002.0,,
2MASS J16452211-1319516,,J16452211-1319516,251.34208333333333,-13.331111111111111,9.1,0.51,L1.5,,,,,,12.45,11.69,11.15,,,,,2200,0.96,,,,2002.0,,
GQ Lup B,x,J15491210-3539051,237.30041666666668,-35.651111111111106,140.0,,L1.5,,,,,,,,13.1,,,,,,1.8,22.0,103.0,,2000.0,,
WISE J033346.88+385152.6,,,53.44541666666667,38.86472222222223,,,L1.5,,,,,,,19.1,,,,,,,,,,,2015.0,UNCON,
WISE J191011.03+563429.3,,,287.54583333333335,56.57472222222223,19.5,3.5,L1.5,,,,,,,,,,,,,,,,,,,,
2MASS J03524627+2112332,,J03524627+2112332,58.19291666666667,21.209166666666665,52.8,3.08,L1.5,,,,,,15.94,14.81,,14.26,13.58,13.28,,2332,,77.0,,,2008.0,,
S Ori 47,,J05381462-0240154,84.56083333333333,-2.6708333333333334,360.0,65,L1.5,,,,,20.49,17.53,16.22,15.81,15.77,,,,,,20.0,,,1999.0,,
2MASS J16270195-3741328,,J16270195-3741328,246.75833333333333,-37.692499999999995,33.82,15.67,L1.5,,,,,18.49,14.95,14.32,13.84,,,,,,,,,,2012.0,,
WISE J174006.68-733720.4,,,265.02791666666667,-73.62222222222222,,,L1.5,,,,,,,,,,,,,,,,,,2015.0,UNCON,
DENIS-P J035726.9-441730 B,x,J03572695-4417305,59.3625,-44.29194444444444,22.2,2,L1.5,,,,,17.91,14.52,13.53,12.91,12.79,12.48,12.09,11.6,,,84.0,2.2,11.0,2003.0,UNCON,
ULAS J031959.75+061740.7,,,49.99916666666667,6.294722222222222,,,L1.5,,,,,,17.79,17.03,,16.4,15.91,16.35,12.32,,,,,,2013.0,,
DENIS-P J0823031-491201 A,x,J08230313-4912012,125.76291666666667,-49.20027777777778,20.76,0.08,L1.5,,,20.02,,17.1,13.55,12.64,12.06,,,,,,,78.0,,,1997.0,,
2MASS J19415458+6826021,,J19415458+6826021,295.4775,68.43388888888889,,,L2,,,,,,16.3,15.23,,14.57,,,,,,,,,2010.0,,
2MASS J09221952-8010399,,J09221952-8010399,140.58125,-80.17777777777778,27.0,6,L2,,,,,,15.28,14.29,13.68,,,,,,,,,,1999.0,,
WISE J050750.72-034245.8,,,76.96125,-3.712777777777778,,,L2,,,,,,,,,,,,,,,,,,2015.0,UNCON,
S Ori 60,,,84.90625,-2.5116666666666667,360.0,65,L2,,,,,22.52,19.05,18.2,17.3,,,,,,,8.0,,,2000.0,,P
DENIS-P J161928.3+005012,,J16192830+0050118,244.86791666666667,0.8366666666666667,26.0,2,L2,,21.54,,18.99,17.79,14.39,13.67,13.19,13.28,,,,,,,,,2002.0,,
ULAS J100731.32+104758.8,,,151.88041666666666,10.799722222222222,,,L2,,23.89,,22.58,,17.63,16.85,,16.24,15.9,15.83,12.16,,,,,,2015.0,,
DENIS-P J1907440-282420,,J19074402-2824205,286.93333333333334,-28.40583333333333,21.8,4.2,L2,,,,,17.74,14.46,13.78,,13.27,,,,,,,,,2011.0,,
2MASS J164100.15+133559.1,,J164100.15+133559.1,250.25083333333333,13.599722222222223,,,L2,,,,,,17.48,16.56,15.97,,,,,,,,,,,,
SDSS J125253.62+342138.8,,,193.22333333333333,34.36083333333333,86.9,16.7,L2,,,,20.54,,16.27,15.26,14.68,,,,,,,,,,2010.0,,
WISE J094812.21-290329.5,,,147.05083333333334,-29.058333333333334,,,L2,,,,,,,18.76,,,,,,,,,,,2015.0,UNCON,
SDSS J143317.78+101123.3 B,x,,218.32416666666666,10.189722222222223,,,L2,,,,,,,,,,,,,,,,,0.000148,2013.0,,
SDSS J150309.53+115323.1,,J15030952+1153228,225.78958333333333,11.889722222222222,58.5,11.2,L2,,23.21,,20.68,,16.3,15.4,14.79,,,,,,,,,,2010.0,,
SDSS J134607.41+084234.5,,J13460746+0842346,206.53125,8.709722222222222,50.8,9.7,L2,,22.53,,20.04,,15.74,14.79,14.16,,,,,,,,,,2010.0,,
2MASSW J0928397-160312,,J09283972-1603128,142.16541666666666,-16.053611111111113,29.07,3.3,L2,,,,,18.8,15.32,14.29,13.62,,13.05,12.75,12.37,1950,1.0,,,,2000.0,,
WDS J11279+7411 A,x,J11275346+7411076,171.97291666666666,74.18555555555555,14.6,,L2,,,,,16.5,13.02,12.37,11.95,,,,,,,,,,,,
SDSS J092142.52+084202.7,,J09214255+0842030,140.4275,8.700833333333332,62.4,11.9,L2,,21.77,,19.56,,15.79,14.89,14.34,,,,,,,,,,2010.0,,
SDSS J154727.23+033636.3,,J15472723+0336361,236.86333333333334,3.61,57.0,4,L2,,23.41,,20.45,,16.08,15.07,14.27,14.27,,,,,,,,,2000.0,,
DENIS-P J0206566-073519,,J02065668-0735200,31.73625,-7.588888888888889,21.5,4.1,L2,,,,,17.92,14.24,13.62,,13.16,,,,,,,,,2011.0,,
WISEA J065958.55+171710.9,,,104.99416666666667,17.28638888888889,,,L2,,,,,,,,,,,,,,,,,,2014.0,,
DENIS-P J101621.9-271428,,J10162189-2714266,154.09125,-27.240833333333335,47.1,,L2,,,,,18.45,15.09,14.56,13.92,,,,,,,,,,,UNCON,
SDSS J161420.50+004643.6,,J16142048+0046434,243.58541666666667,0.7786111111111111,61.0,5,L2,,23.14,,20.89,,16.23,15.59,14.85,14.85,,,,,,,,,2000.0,,
SDSS J161459.98+400435.1,,,243.75,40.07638888888889,70.0,4,L2,,,,,,16.51,15.43,15.18,,14.58,14.24 >,13.61,,,,,,2009.0,,
DENIS-P J0128266?554534,,J01282664-5545343,22.110833333333332,-55.75944444444445,23.0,1,L2,,,,,17.07,13.78,12.92,12.34,12.34,11.94,11.69,11.3,,,,,,1997.0,,
WISE J173332.50+314458.3,,,263.3854166666667,31.749444444444446,52.0,3,L2,,,,,,15.87,14.89,14.3,,13.58,13.27 >,12.99,,,,,,2013.0,,
2MASSW J0335020+234235,,,53.75875,23.71,11.3,,L2,,,17.67,,15.7,12.25,11.66,11.26,,,,,,,,,,,UNCON,
SDSS J133228.52+263508.0,,J13322863+2635079,203.11916666666667,26.585555555555555,46.0,3,L2,,,,,,16.08,15.12,14.35,,,,,,,,,,2000.0,,
2MASS J21474365+1431315 B,x,J21474365+1431315,326.9320833333333,14.525555555555556,21.8,,L2,,,,,,,,,,,,,,,82.0,7.0,65.0,2003.0,UNCON,
2MASS J22114470+6856262,,J22114470+6856262,332.93625,68.94055555555556,,,L2,,,,,,15.71,14.81,,14.19,,,,,,,,,2010.0,,
SDSS J091714.76+314824.8,,J09171476+3148249,139.31166666666667,31.806944444444444,43.6,8.3,L2,,,,20.87,,16.3,15.73,15.01,,14.76,14.49 >,11.97,,,,,,2009.0,,
WISEA J053257.29+041842.5,,,83.23875,4.311944444444444,,,L2,,,,,,,,,,,,,,,,,,2014.0,,
2MASS J13081228+6103486,,J13081228+6103486,197.05125,61.06361111111111,78.0,?,L2,,,,21.42,,16.67,> 16.16 >,15.49,,,,,,,,,,2011.0,,
WISEA J235459.79-185222.4,,,358.74916666666667,-18.872777777777777,,,L2,,,,,,,,,,,,,,,,,,2014.0,,
DENIS-P J2354599?185221,,J23545993-1852216,358.7495833333333,-18.872777777777777,21.5,3.9,L2,,,,,17.49,14.18,13.44,13.04,12.83,,,,,,,,,2010.0,,
Kelu-1 Aa,x,J13054019-2541059,196.4175,-25.685,18.66,0.7,L2,21.77,,19.1,,16.94,13.41,12.39,11.75,11.8,11.25,10.92,10.37,2100,1.2,63.0,4.0,,1997.0,,
2MASSI J0117474-340325,,J01174748-3403258,19.447916666666668,-34.05722222222222,38.0,6,L2,,,,,,15.18,14.21,13.49,,,,,,,,,,1999.0,,
NLTT 4558 B,x,J01221697+0331235,20.570833333333333,3.5233333333333334,43.0,26.5,L2,,22.05,,19.95,,15.47,14.65,14.4,,,,,,,77.0,2222.0,97000.0,,,
2MASS J05104958-1843548,,J05104958-1843548,77.70666666666666,-18.731944444444444,,,L2,,,,,,15.35,,,,,,,,,,,,,,
2MASSW J0030438+313932,,J00304384+3139321,7.6825,31.65888888888889,43.0,3,L2,,,,,,15.48,14.62,14.03,,13.49,13.13,11.96,,,,,,1999.0,,
2MASS J01230050-3610306,,J01230050-3610306,20.752083333333335,-36.17527777777777,19.0,?,L2,,,17.4,,,13.64,13.11,12.19,,,,,,,,,,,,
CFHT-PLIZ-35,,,58.163333333333334,24.775,136.2,1.2,L2,,,,,,,,,16.51,,,,,,31.0,,,,,
SDSS J094402.80+313132.5,,J09440279+3131328,146.01166666666666,31.52583333333333,43.0,3,L2,,,,20.11,,15.5,14.63,14.01,,13.58,13.27,12.75,,,,,,2000.0,,
SDSS J094436.31+364920.8,,,146.15125,36.822500000000005,84.6,16.2,L2,,,,20.3,,15.99,14.98,14.47,,,,,,,,,,2010.0,,
2MASS J13411160-3052505,,J13411160-3052505,205.29833333333335,-30.880833333333335,24.0,2,L2,,,,,,14.61,13.73,13.08,,12.74,12.39,11.95,,,,,,2004.0,,
2MASS J05254550-7425263 B,x,J05253876-7426008,81.41166666666666,-74.43361111111112,45.7,2.5,L2,,,,,,15.71,14.97,,14.43,14.02,13.57,11.97,2100,,73.0,2005.0,,,,
2MASS J06160532-4557080,,J06160532-4557080,94.02208333333333,-45.952222222222225,37.0,3,L2,,,,,,15.16,14.26,13.6,,,,,,,,,,2003.0,,
DENIS-P J0615493-010041,,J06154934-0100415,93.95541666666666,-1.0116666666666667,21.88,0.05,L2,,,,,17.02,13.75,12.98,12.54,,,,,,,80.0,,,2000.0,,
ULAS J134612.77+082503.3,,,206.55333333333334,8.417499999999999,,,L2,,23.89,,22.84,,18.01,17.26,,16.5,15.97,15.47,>12.95,,,,,,2015.0,,
WISE J103610.38-273808.3,,,159.04333333333332,-27.635555555555555,56.4,9.4,L2,,,,,,16.02,15.36,,14.72,14.46,14.02,12.52,,,,,,2015.0,,
ULAS J132410.21+025040.6,,,201.0425,2.8447222222222224,,,L2,,24.62,,22.67,,18.07,17.25,,16.66,16.2,16.21,>12.58,,,,,,2015.0,,
2MASS J03421621-6817321,,J03421621-6817321,55.5675,-68.29222222222222,81.0,1,L2,,,,,,16.85,15.39,14.54,,13.95,13.46 >,13.07,,,,,,2003.0,,
2MASS J19495702+6222440,,J19495702+6222440,297.4875,62.37888888888889,,,L2,,,,,,16.36,15.47,,14.75,,,,,,,,,2010.0,,
2MASSI J0445538-304820,,J04455387-3048204,71.47458333333333,-30.805555555555557,12.74,0.8,L2,,,,,,13.39,12.58,11.98,,,,,,,,,,2003.0,,
WISE J122355.12+551050.3,,,185.97958333333332,55.18055555555555,,,L2,,,,,,,,,,,,,,,,,,2015.0,UNCON,
2MASSI J0125369-343505,,J01253689-3435049,21.40375,-34.584722222222226,44.0,3,L2,,,,,,15.52,14.47,13.9,,,,,,,,,,2000.0,,
DENIS-P J153941.96-052042.4,,J15394189-0520428,234.92458333333335,-5.345277777777778,15.5,0.82,L2,,,,,17.5,13.92,13.06,12.58,12.4,,,,1800,,,,,2000.0,,
2MASS J04463535+1451261,,J04463535+1451261,71.6475,14.857222222222221,57.8,5.36,L2,,,,,,16.68,15.29,,14.52,13.94,13.56,,2368,,79.0,,,2008.0,,
2MASSW J2206450-421721,,J22064498-4217208,331.6875,-42.28916666666667,44.9,3.8,L2,,,,,19.2,15.56,14.45,13.61,,12.86,12.37,11.84,,,,,,2000.0,,
ULAS J005038.20-000336.6,,,12.659166666666668,-0.06027777777777778,,,L2,,23.82,,22.54,,17.86,17.07,,16.52,16.0,16.21,>12.14,,,,,,2013.0,,
DENIS-P J1256569+014616,,J12565688+0146163,194.23708333333335,1.771111111111111,17.4,3.1,L2,,,,,18.2,14.48,13.52,12.79,12.94,12.33,12.04,11.52,,,,,,2008.0,,
WISE J103238.32+051323.2,,,158.15958333333333,5.223055555555556,68.6,11.6,L2,,,,,,16.62,15.95,,15.35,14.85,14.45,>12.32,,,,,,2015.0,,
WISE J231531.39+061714.2,,,348.8808333333333,6.287222222222222,36.8,6.1,L2,,,,,,15.75,14.89,,14.11,13.55,13.1,11.67,,,,,,2015.0,,
2MASS J21555848+2345307,,J21555848+2345307,328.99375,23.75861111111111,,,L2,,,,,,15.99,14.95,,14.27,,,,,,,,,2010.0,,
2MASSW J0045214+163445,,J00452143+1634446,11.339166666666667,16.579166666666666,14.0,1,L2,22.0,,,,,13.06,12.06,11.37,,,,,2100,0.37,,,,2000.0,,
S Ori 62,,,84.92541666666666,-2.508888888888889,360.0,65,L2,,,,,22.52,19.18,18,17.86,,,,,,,8.0,,,2000.0,,P
DENIS-P J0031192?384035,,J00311925-3840356,7.830416666666667,-38.67666666666666,18.7,3.4,L2,,,,,17.62,14.1,13.4,12.92,12.86,12.43,12.03,11.46,,,,,,2010.0,,
ULAS J231645.70+010012.5,,,349.1904166666667,1.003611111111111,,,L2,,25.36,,23.02,,17.95,17.26,,16.7,16.49,15.92,12.51,,,,,,2013.0,,
2MASS J172515.57+640500.5,,J172515.57+640500.5,261.315,64.08361111111111,,,L2,,,,,,17.4,16.66,16.2,,,,,,,,,,2009.0,,
