Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
CFBDS J151324+095345,,,228.35416666666666,9.895833333333332,,,L,,,,23.26,,17.8,,,,,,,,,,,,2010.0,UNCON,
CFBDS J005107+014105,,,12.783333333333333,1.685,,,L,,,,24.53,,18.67,,,,,,,,,,,,2010.0,UNCON,
Beta Pic b,x,,86.82125,-51.06638888888889,19.44,0.05,L,,,,,,,,,,,,,,,8.0,9.55,16.0,2010.0,,P
Oph J162651-242110,,,246.7125,-24.352777777777778,125.0,,L,,,,,,,18.69,17.5,,,,,,,,,,2015.0,,
*R+2011 03,,,330.68875,18.848055555555554,,,L,,,,,,23.19,,,,,,,,,,,,2011.0,UNCON,
CFBDS J030421-135836,,,46.09,-13.976944444444445,,,L,,,,23.09,,17.84,,,,,,,,,,,,2010.0,UNCON,
CFBDS J004148-013353,,,10.452916666666667,-1.565,,,L,,,,24.32,,19.28,,,,,,,,,,,,2010.0,UNCON,
CFBDS J105503+580827,,,163.76333333333332,58.14111111111111,,,L,,,,24.42,,19.73,,,,,,,,,,,,2010.0,UNCON,
CFBDS J004037+035316,,,10.1575,3.8880555555555554,,,L,,,,23.49,,18.27,,,,,,,,,,,,2010.0,UNCON,
S Ori 72,,,84.74666666666667,-2.5905555555555555,360.0,65,L,,,,,> 23.30,20.89,19.57,18.72,,,,,,,4.0,,,2009.0,UNCON,P
S Ori 74,,,84.68458333333334,-2.6688888888888886,360.0,65,L,,,,,> 23.30,21.1,> 18.54,19.38,,,,,,,4.0,,,2009.0,UNCON,P
CFBDS J132945-082730,,,202.44041666666666,-8.45861111111111,,,L,,,,24.66,,19.6,,,,,,,,,,,,2010.0,UNCON,
CFBDS J215454-014416,,,328.72541666666666,-1.7377777777777779,,,L,,,,23.86,,18.5,,,,,,,,,,,,2010.0,UNCON,
2MASS J11062877-7737331 B,x,J11062877-7737331,166.62,-77.62583333333333,,,L,,,,,,,,,,,,,,,13.0,210.0,,2004.0,,
CFBDS J215352-013855,,,328.4675,-1.648611111111111,,,L,,,,24.14,,19.25,,,,,,,,,,,,2010.0,UNCON,
CFBDS J215230-004504,,,328.12708333333336,-0.7513888888888889,,,L,,,,24.76,,19.37,,,,,,,,,,,,2010.0,UNCON,
CFBDS J003448-020500,,,8.703333333333333,-2.0836111111111113,,,L,,,,24.43,,19.31,,,,,,,,,,,,2010.0,UNCON,
*R+2011 02,,,141.38666666666666,44.4125,,,L,,,,,,22.53,,,,,,,,,,,,2011.0,UNCON,
CFBDS J161010+075452,,,242.5425,7.914722222222222,,,L,,,,24.11,,18.58,,,,,,,,,,,,2010.0,UNCON,
LSR J1610-0040 B,x,J16102900-0040530,242.62083333333334,-0.6813888888888888,30.21,1.2,L,,17.97,17.51,15.89,14.81,12.91,12.3,12.02,,11.64,11.54,,1900,,63.0,0.404,1.662,2003.0,,
CFBDS J030719-171532,,,46.8325,-17.25888888888889,,,L,,,,23.92,,18.64,,,,,,,,,,,,2010.0,UNCON,
CFBDS J005304-020025,,,13.269583333333333,-2.0069444444444446,,,L,,,,24.07,,18.88,,,,,,,,,,,,2010.0,UNCON,
CFBDS J005336+045214,,,13.400416666666667,4.870555555555556,,,L,,,,,,19.58,,,,,,,,,,,,2010.0,UNCON,
CFBDS J005350+050002,,,13.46,5.000555555555556,,,L,,,,24.53,,19.94,,,,,,,,,,,,2010.0,UNCON,
CFBDS J221245-123038,,,333.1879166666667,-12.510833333333334,,,L,,,,24.48,,19.68,,,,,,,,,,,,2010.0,UNCON,
CFBDS J031859-170527,,,49.74875,-17.09111111111111,,,L,,,,23.49,,18.05,,,,,,,,,,,,2010.0,UNCON,
CFBDS J032438-124030,,,51.16,-12.675277777777778,,,L,,,,24.32,,19.4,,,,,,,,,,,,2010.0,UNCON,
CFBDS J133240-082314,,,203.17083333333332,-8.387222222222222,,,L,,,,24.55,,19.72,,,,,,,,,,,,2010.0,UNCON,
CFBDS J132400-081123,,,201.00041666666667,-8.189722222222223,,,L,,,,24.67,,19.27,,,,,,,,,,,,2010.0,UNCON,
CFBDS J011159+330807,,,17.99625,33.135555555555555,,,L,,,,23.6,,18.16,,,,,,,,,,,,2010.0,UNCON,
CFBDS J150435+102638,,,226.14666666666668,10.443888888888889,,,L,,,,24.0,,18.4,,,,,,,,,,,,2010.0,UNCON,
CFBDS J221706-120541,,,334.2754166666667,-12.094722222222222,,,L,,,,23.37,,18.5,,,,,,,,,,,,2010.0,UNCON,
CFBDS J032602-133927,,,51.510416666666664,-13.657777777777778,,,L,,,,21.59,,16.77,,,,,,,,,,,,2010.0,UNCON,
CFBDS J003214+025604,,,8.06,2.9347222222222227,,,L,,,,24.02,,18.5,,,,,,,,,,,,2010.0,UNCON,
CFBDS J150724+072919,,,226.85208333333333,7.488611111111111,,,L,,,,22.75,,17.85,,,,,,,,,,,,2010.0,UNCON,
CFBDS J151546+061738,,,228.94416666666666,6.2941666666666665,,,L,,,,23.23,,18.35,,,,,,,,,,,,2010.0,UNCON,
CFBDS J010608+340520,,,16.535833333333333,34.08888888888889,,,L,,,,24.32,,19.47,,,,,,,,,,,,2010.0,UNCON,
CFBDS J151929+105059,,,229.87458333333333,10.849722222222223,,,L,,,,23.75,,18.78,,,,,,,,,,,,2010.0,UNCON,
CFBDS J031028-102928,,,47.61875,-10.491388888888888,,,L,,,,23.68,,18.73,,,,,,,,,,,,2010.0,UNCON,
CFBDS J031011-162225,,,47.5475,-16.37361111111111,,,L,,,,24.35,,19.34,,,,,,,,,,,,2010.0,UNCON,
CFBDS J222245-110731,,,335.68875,-11.125555555555556,,,L,,,,23.11,,18.17,,,,,,,,,,,,2010.0,UNCON,
CFBDS J104055+084005,,,160.23166666666665,8.668055555555554,,,L,,,,24.07,,19.28,,,,,,,,,,,,2010.0,UNCON,
*R+2011 01,,,95.86375,-64.52277777777778,,,L,,,,,,20.88,,,,,,,,,,,,2011.0,UNCON,
CFBDS J133407-092339,,,203.52916666666667,-9.394444444444444,,,L,,,,24.57,,19.94,,,,,,,,,,,,2010.0,UNCON,
*R+2011 09,,,131.56916666666666,76.88694444444445,,,L,,,,,,24.21,,,,,,,,,,,,2011.0,UNCON,
CFBDS J025947-113619,,,44.94625,-11.605277777777777,,,L,,,,24.42,,19.44,,,,,,,,,,,,2010.0,UNCON,
CFBDS J030148-134948,,,45.45333333333333,-13.830277777777777,,,L,,,,23.2,,17.56,,,,,,,,,,,,2010.0,UNCON,
CFBDS J213259-013827,,,323.2495833333333,-1.6408333333333334,,,L,,,,24.49,,19.69,,,,,,,,,,,,2010.0,UNCON,
CFBDS J025242-173225,,,43.17916666666667,-17.540277777777778,,,L,,,,23.87,,18.37,,,,,,,,,,,,2010.0,UNCON,
2MASS J04373705+2331080,x,J04373705+2331080,69.40458333333333,23.51888888888889,140.0,,L,,,,,,17.38,16.13,15.44,,,,,,,6.0,,,,,
*R+2011 13,,,69.83958333333334,-53.28111111111111,,,L,,,,,,24.73,,,,,,,,,,,,2011.0,UNCON,
CFBDS J025232-162255,,,43.135416666666664,-16.381944444444446,,,L,,,,24.31,,19.33,,,,,,,,,,,,2010.0,UNCON,
*R+2011 16,,,69.85875,-53.26694444444444,,,L,,,,,,25.08,,,,,,,,,,,,2011.0,UNCON,
CFBDS J085833+173453,,,134.63875,17.58138888888889,,,L,,,,24.72,,19.5,,,,,,,,,,,,2010.0,UNCON,
CFBDS J165843+381155,,,254.68166666666667,38.19888888888889,,,L,,,,24.53,,18.91,,,,,,,,,,,,2010.0,UNCON,
CFBDS J214124+032249,,,325.3525,3.3802777777777777,,,L,,,,23.96,,19.3,,,,,,,,,,,,2010.0,UNCON,
CFBDS J025418-135237,,,43.57625,-13.876944444444446,,,L,,,,23.9,,18.76,,,,,,,,,,,,2010.0,UNCON,
CFBDS J025420-170744,,,43.58625,-17.128888888888888,,,L,,,,24.03,,18.74,,,,,,,,,,,,2010.0,UNCON,
*R+2011 04,,,33.39083333333333,12.903055555555556,,,L,,,,,,23.36,,,,,,,,,,,,2011.0,UNCON,
CFBDS J025445-140314,,,43.69,-14.054166666666667,,,L,,,,22.89,,17.82,,,,,,,,,,,,2010.0,UNCON,
CFBDS J164357+415740,,,250.98916666666668,41.96138888888889,,,L,,,,24.86,,19.36,,,,,,,,,,,,2010.0,UNCON,
CFBDS J213607-022232,,,324.02958333333333,-2.3758333333333335,,,L,,,,23.08,,18.07,,,,,,,,,,,,2010.0,UNCON,
CFBDS J040027-085753,,,60.11333333333334,-8.965,,,L,,,,23.47,,18.59,,,,,,,,,,,,2010.0,UNCON,
CFBDS J214127-002841,,,325.3666666666667,-0.47833333333333333,,,L,,,,24.28,,19.25,,,,,,,,,,,,2010.0,UNCON,
CFBDS J212409-000452,,,321.04083333333335,-0.08138888888888889,,,L,,,,24.32,,19.36,,,,,,,,,,,,2010.0,UNCON,
CFBDS J025612-125721,,,44.05125,-12.955833333333333,,,L,,,,22.81,,17.55,,,,,,,,,,,,2010.0,UNCON,
CFBDS J083009+190427,,,127.54,19.074444444444445,,,L,,,,23.71,,18.94,,,,,,,,,,,,2010.0,UNCON,
GOODS J123734.05+621553.4,,,189.39166666666668,62.264722222222225,,,L,27.6,,,,24.88,23.2,,,21.12,,,,,,,,,2004.0,,
CFBDS J214720-005533,,,326.8375,-0.9258333333333333,,,L,,,,24.13,,18.84,,,,,,,,,,,,2010.0,UNCON,
CFBDS J040420-081829,,,61.08708333333333,-8.308055555555557,,,L,,,,23.48,,18.5,,,,,,,,,,,,2010.0,UNCON,
CFBDS J213221-000859,,,323.09166666666664,-0.15,,,L,,,,23.29,,18.37,,,,,,,,,,,,2010.0,UNCON,
CFBDS J214048+002135,,,325.2,0.36,,,L,,,,23.92,,19.01,,,,,,,,,,,,2010.0,UNCON,
SDSS J075004.93+330617.9,,J07500495+3306180,117.52041666666666,33.105000000000004,78.4,15,L0,,23.09,,20.19,,16.14,15.37,15.2,,,,,,,,,,2008.0,,
SDSS J083652.36+183544.9,,,129.21833333333333,18.59583333333333,67.3,13,L0,,,,20.87,,16.51,15.88,15.18,,,,,,,,,,2010.0,,
G 239-25 B,x,J14422164+6603208,220.59083333333334,66.05555555555556,10.8,0.18,L0,,,,,,11.51,10.83,10.33,,,,,,,75.0,30.0,,2004.0,,
ULAS J093129.56-020902.8,,,142.87333333333333,-2.1508333333333334,,,L0,,,,,,18.09,17.31,,16.77,16.85,16.42,>12.73,,,,,,2015.0,,
SDSS J144430.15+485807.4,,J14443018+4858071,221.12583333333333,48.968611111111116,100.8,19.4,L0,,23.42,,20.63,,16.67,15.65,15.24,,,,,,,,,,2008.0,,
SDSS J083621.99+494931.5,,J08362199+4949312,129.09166666666667,49.82555555555556,44.9,8.6,L0,,22.27,,19.6,,15.42,14.64,14.54,,,,,,,,,,2008.0,,
SDSS J083646.34+052642.6,,J08364635+0526426,129.19333333333333,5.445277777777778,35.9,6.8,L0,,21.29,,18.68,,14.58,13.91,13.29,,,,,,,,,,2008.0,,
ULAS J092432.13+005835.6,,,141.13375,0.9766666666666667,,,L0,,24.17,,22.44,,17.93,17.26,,16.56,16.72,16.49,>12.69,,,,,,2015.0,,
SDSS J074756.31+394732.9,,J07475631+3947329,116.98458333333333,39.7925,47.0,3,L0,,21.81,,19.22,,15.08,14.16,13.72,,,,,,,,,,2001.0,,
SDSS J083732.80+161737.5,,,129.38666666666666,16.29388888888889,70.0,13.5,L0,,,,20.74,,16.59,15.56,15.11,,,,,,,,,,2010.0,,
SDSS J074656.83+251019.0,,J07465677+2510193,116.73666666666666,25.171944444444446,101.6,47.7,L0,,22.95,,20.27,,16.76,15.72,15.74,,,,,,,,,,2010.0,,
SDSS J083759.75+195727.7,,,129.49916666666667,19.95777777777778,84.6,39.7,L0,,,,20.24,,16.36,15.57,14.93,,,,,,,,,,2010.0,,
SDSS J075054.74+445418.7,,,117.72791666666667,44.905277777777776,60.0,4,L0,,,,,,15.13,14.46,14.25,,13.8,13.45,12.78,,,,,,2008.0,,
SDSS J144635.65+164337.3,,,221.64875,16.72694444444444,57.9,11.2,L0,,,,20.9,,16.42,15.97,15.15,,,,,,,,,,2010.0,,
SDSS J144804.96+060802.2,,J14480497+0608024,222.02083333333334,6.133888888888889,36.0,6.9,L0,,22.39,,19.92,,15.77,15,14.58,,,,,,,,,,2008.0,,
SDSS J084149.77+005844.6,,,130.4575,0.9791666666666666,53.1,10.3,L0,,,,20.91,,,,,,,,,,,,,,2010.0,,
SDSS J074434.60+320705.1,,J07443463+3207054,116.14416666666666,32.11805555555556,55.3,10.7,L0,,23.19,,20.59,,16.33,15.66,15.41,,,,,,,,,,2008.0,,
SDSS J084217.14+432506.3,,J08421711+4325063,130.57125,43.41833333333333,81.0,?,L0,,23.06,,20.51,,16.25,15.67,15.01,,,,,,,,,,2008.0,,
SDSS J074227.46+412620.8,,J07422750+4126211,115.61458333333333,41.439166666666665,39.6,7.5,L0,,21.19,,18.69,,14.78,14.02,13.59,,,,,,,,,,2008.0,,
SDSS J144842.75+371932.0,,J14484277+3719321,222.17833333333334,37.32555555555556,50.2,9.6,L0,,22.13,,19.69,,,14.47,,,,,,,,,,,2008.0,,
SDSS J144927.99+205434.1,,,222.36666666666667,20.909444444444443,90.5,17.5,L0,,,,20.7,,16.88,16.46,15.83,,,,,,,,,,2010.0,,
SDSS J084520.22+360551.4,,J08452021+3605515,131.33416666666668,36.097500000000004,71.6,13.7,L0,,22.7,,20.15,,15.82,15.01,14.45,,,,,,,,,,2008.0,,
SDSS J083724.77+081603.9,,J08372479+0816040,129.35333333333332,8.267777777777779,60.8,11.7,L0,,21.6,,19.64,,16.13,15.31,14.76,,,,,,,,,,2008.0,,
SDSS J083926.23+433935.7,,J08392628+4339356,129.85916666666665,43.66,86.0,?,L0,,23.07,,20.52,,16.51,15.66,15.28,,,,,,,,,,2008.0,,
SDSS J075910.44+242712.4,,J07591043+2427136,119.79333333333334,24.453888888888887,42.9,8.2,L0,,22.52,,20.03,,15.74,14.98,14.48,,,,,,,,,,2008.0,,
SDSS J083545.33+222430.8,,J08354537+2224310,128.93916666666667,22.40861111111111,38.0,7.2,L0,,22.55,,19.72,,15.74,14.93,14.45,,,,,,,,,,2008.0,,
SDSS J142806.99+512022.4,,J14280703+5120225,217.02916666666667,51.339444444444446,78.9,15.1,L0,,22.92,,20.33,,16.32,15.44,14.99,,,,,,,,,,2008.0,,
SDSS J142241.28+234011.8,,,215.67208333333335,23.67,63.8,12.2,L0,,,,20.62,,16.53,16.1,15.56,,,,,,,,,,2010.0,,
SDSS J082115.03+333651.3,,J08211501+3336508,125.3125,33.61416666666667,89.8,42.2,L0,,23.24,,20.44,,16.5,15.63,15.06,,,,,,,,,,2008.0,,
LHS 2924,,J14284323+3310391,217.18,33.177499999999995,11.11,0.16,L0,19.74,,17.8,16.2,14.8,11.99,11.23,10.74,10.72,,,,,,,,,1984.0,,
SDSS J142935.19+383221.4,,J14293522+3832212,217.39666666666668,38.53916666666667,71.4,13.6,L0,,21.89,,19.46,,15.97,14.93,14.53,,,,,,,,,,2008.0,,
SDSS J082928.21+343954.0,,,127.3675,34.665,47.3,9.1,L0,,,,20.49,,16.1,15.43,15.06,,,,,,,,,,2010.0,,
SDSS J142131.13+182739.7,,J14213145+1827407,215.38125,18.461388888888887,20.0,1,L0,,,,,,13.23,12.43,11.94,,,,,,,,,,2000.0,,
SDSS J143055.90+001352.1,,J14305589+0013523,217.73291666666665,0.23111111111111113,82.0,5,L0,,23.03,,20.43,,16.29,15.38,14.98,14.8,14.66,14.32 >,12.51,,,,,,2002.0,,
SDSS J081814.38+245337.4,,,124.56,24.89361111111111,81.0,?,L0,,,,20.04,,16.37,15.54,14.91,,,,,,,,,,2010.0,,
SDSS J081812.28+331048.2,,,124.55125,33.18,65.6,12.6,L0,,,,20.44,,15.99,15.37,15.06,,,,,,,,,,2010.0,,
SDSS J081802.24+582920.9,,,124.50916666666667,58.48916666666667,50.1,9.7,L0,,,,20.78,,16.33,15.5,15.24,,,,,,,,,,2010.0,,
SDSS J083027.24+220345.0,,J08302724+2203456,127.61333333333333,22.0625,43.4,8.3,L0,,22.14,,19.76,,15.66,14.81,14.46,,,,,,,,,,2008.0,,
SDSS J081752.62+194727.5,,J08175266+1947279,124.46916666666667,19.791111111111114,68.8,13.1,L0,,21.21,,19.08,,15.57,14.83,14.35,,,,,,,,,,2008.0,,
SDSS J141942.82+420524.0,,J14194287+4205235,214.92833333333334,42.09,61.8,11.8,L0,,22.82,,20.26,,16.11,15.36,14.96,,,,,,,,,,2008.0,,
SDSS J081733.99+393606.0,,,124.39166666666667,39.60166666666667,,,L0,,,,20.74,,,,,,,,,,,,,,2010.0,,
SDSS J143147.92+124329.0,,J14314789+1243288,217.94958333333332,12.724722222222223,64.5,12.4,L0,,23.63,,20.46,,16.38,15.57,15.32,,,,,,,,,,2008.0,,
SDSS J143251.01+363643.6,,J14325112+3636440,218.2125,36.61222222222222,18.2,3.5,L0,,21.14,,18.49,,14.3,13.6,13.07,,,,,,,,,,2008.0,,
SDSS J075256.70+173433.8,,J07525673+1734341,118.23625,17.57611111111111,87.0,?,L0,,,,,,16.43,15.8,15.34,,,,,,,,,,2009.0,,
SDSS J075259.43+413634.6,,J07525942+4136344,118.2475,41.60944444444445,84.0,1,L0,,24.08,,21.03,,16.36,15.6,15.19,,14.92,14.75 >,12.6,,,,,,2000.0,,
SDSS J141838.08+145522.4,,,214.65875,14.922777777777776,47.9,9.1,L0,,,,19.49,,15.22,14.55,14.21,,,,,,,,,,2010.0,,
SDSS J082612.27+544735.4,,J08261233+5447358,126.55125,54.793055555555554,63.9,12.3,L0,,22.84,,20.38,,16.36,15.59,15.26,,,,,,,,,,2008.0,,
SDSS J080054.26+241316.8,,J08005428+2413172,120.22625,24.22138888888889,71.2,13.6,L0,,22.06,,19.37,,15.8,14.99,14.68,,,,,,,,,,2008.0,,
SDSS J080159.52+480628.5,,J08015951+4806282,120.49791666666667,48.10805555555556,38.8,7.4,L0,,22.82,,20.3,,16.01,15.06,14.82,,,,,,,,,,2008.0,,
SDSS J144139.88+353809.5,,J14413988+3538094,220.41625,35.63611111111111,41.3,7.9,L0,,22.27,,19.64,,15.44,14.78,14.19,,,,,,,,,,2008.0,,
SDSS J143925.23+424141.7,,J14392520+4241414,219.855,42.69499999999999,47.0,9,L0,,22.61,,19.79,,15.5,14.79,14.2,,,,,,,,,,2008.0,,
SDSS J080519.69+492504.8,,,121.33208333333333,49.418055555555554,59.0,11.4,L0,,,,20.75,,,,,,,,,,,,,,2010.0,,
SDSS J083424.12+071916.2,,J08342418+0719161,128.60041666666666,7.321111111111111,105.1,20.2,L0,,22.11,,20.58,,16.54,15.84,15.43,,,,,,,,,,2008.0,,
SDSS J080550.07+533531.4,,J08055007+5335322,121.45875,53.591944444444444,86.1,16.5,L0,,22.08,,20.03,,16.21,15.5,15.04,,,,,,,,,,2008.0,,
SDSS J143517.20-004612.9,,J14351720-0046130,218.82166666666666,-0.7702777777777778,80.4,15.4,L0,,22.99,,20.35,19.7,16.48,15.61,15.32,15.32,15.07,14.74 >,12.11,,,,,,2002.0,,
SDSS J141910.99+484257.0,,J14191096+4842570,214.79583333333332,48.715833333333336,76.8,36.1,L0,,22.05,,19.7,,16.15,15.47,14.76,,,,,,,,,,2008.0,,
2MASS J14335537-4907072,,J14335537-4907072,218.48083333333332,-49.118611111111115,47.86,18.76,L0,,,,,18.63,15.25,14.53,13.97,,,,,,,,,,2012.0,,
SDSS J143911.87+082315.6,,J14391190+0823157,219.79958333333335,8.387777777777778,41.3,7.9,L0,,22.33,,19.84,,15.39,14.65,14.09,,,,,,,,,,2010.0,,
2MASS J14493784+2355378 A,x,J14493784+2355378,222.4075,23.927222222222223,63.7,4,L0,,,,19.93,18.9,15.82,15,14.31,,14.24,14.53 >,12.47,,,88.0,,,2000.0,UNCON,
DENIS-P J2322468?313323,,J23224684-3133231,350.695,-31.55638888888889,17.06,1.63,L0,,,,,16.84,13.58,12.79,12.32,12.29,,,,,,,,,2008.0,,
SDSS J145017.31+461739.3,,J14501728+4617398,222.57208333333332,46.29416666666666,50.4,9.6,L0,,22.17,,19.49,,15.51,14.84,14.42,,,,,,,,,,2008.0,,
CFHT-PLIZ-28,,,58.55833333333333,23.297500000000003,136.2,1.2,L0,,,,,,,,,16.14,,,,,,35.0,,,,,
CFHTWIR-Oph 18,,,246.58083333333335,-24.46222222222222,125.0,?,L0,,,,,,18.92,17.16,16.04,,,,,2250,,,,,2012.0,,
CFHTWIR-Oph 9,,,246.51375,-24.50722222222222,125.0,?,L0,,,,,,17.76,16.33,15.32,15.32,,,,2650,,,,,2011.0,UNCON,
DENIS-P J044111.3+010554,,,70.29708333333333,1.0983333333333332,103.7,,L0,,,,,19.38,16.27,,,,,,,,,,,,,UNCON,
SDSS J162559.01+334705.4,,J16255899+3347058,246.49583333333334,33.78472222222222,44.1,8.4,L0,,21.99,,19.68,,15.62,14.69,14.23,,,,,,,,,,2008.0,,
2MASS J04400972-5126544,,J04400972-5126544,70.04041666666667,-51.44833333333333,,,L0,,,,,,15.69,,,,,,,1700,,,,,,,
SDSS J162321.84+153039.2,,,245.84083333333334,15.510833333333334,59.2,11.3,L0,,,,20.12,,15.94,15.13,14.63,,,,,,,,,,2010.0,,
WISEA J045921.21+154059.2,,,74.83833333333334,15.683055555555555,,,L0,,,,,,14.96,14.61,14.3,,14.09,13.85,,,,,,,2014.0,,
DENIS-P J0501005-770549,,J05010074-7705487,75.2525,-77.09722222222221,27.4,5.1,L0,,,,,17.16,13.89,,,12.94,,,,,,,,,2011.0,,
SDSS J050213.49+144236.6,,J05021345+1442367,75.55625,14.710277777777778,32.0,2,L0,,,,,,14.27,13.39,12.96,,,,,,,,,,2004.0,,
2MASS J16184503-1321297,,J16184503-1321297,244.6875,-13.358333333333333,32.0,4,L0,,,,,,14.25,13.4,12.92,,,,,,,,,,2000.0,,
SDSS J161840.27+202045.6,,J16184026+2020456,244.66791666666666,20.34611111111111,39.2,7.5,L0,,23.41,,20.62,,16.15,15.2,14.81,,,,,,,,,,2010.0,,
2MASS J17072343-0558249 A,x,J17072343-0558249 A,256.8475,-5.973611111111111,16.5,1,L0,,,,,,12.05,,10.71,,,,,,,,,,,,
SDSS J161611.36+521327.9,,J16161134+5213277,244.0475,52.224444444444444,30.5,5.8,L0,,22.55,,19.9,,15.4,14.63,14.18,,,,,,,,,,2008.0,,
SDSS J161349.44+134608.6,,,243.45583333333335,13.769166666666667,98.9,18.9,L0,,,,20.2,,,,,,,,,,,,,,2010.0,,
SDSS J161312.06+472918.2,,J16131206+4729183,243.30041666666668,47.48833333333334,56.5,10.8,L0,,22.51,,20.04,,15.96,15.23,14.79,,,,,,,,,,2008.0,,
USco J161302.32-212428.4,,J16130232-2124283,243.25958333333332,-21.407777777777778,145.0,15,L0,,,,,,17.16,17.17,15.25,,,,,2250,,16.0,,,2008.0,,
USco J161227.64-215640.8,,J16122764-2156407,243.115,-21.94472222222222,145.0,15,L0,,,,,,17.24,16.38,15.4,,,,,2250,,16.0,,,2008.0,,
SDSS J161106.31+002547.0,,,242.77625,0.4297222222222222,86.2,16.9,L0,,,,21.42,,17.02,16.53,15.83,,,,,,,,,,2010.0,,
DENIS-P J0436205-421851,,J04362054-4218523,69.08541666666666,-42.31444444444444,24.5,4.7,L0,,,,,18,14.49,13.65,13.14,13.15,,,,,,,,,2008.0,,
USco J160818.43-223225.0,,J16081843-2232248,242.07666666666665,-22.540277777777778,145.0,15,L0,,,,,,16.16,15.41,14.78,,,,,2250,,16.0,,,2008.0,,
BRB 17,,,58.53333333333333,23.907777777777778,136.2,1.2,L0,,,,,,,,,16.03,,,,,,43.0,,,,,
CFHTWIR-Oph 90,,,246.9025,-24.860000000000003,125.0,?,L0,,,,,,16.83,15.65,14.85,,,,,2250,,,,,2012.0,,
SDSS J035721.11-064126.0,,J03572110-0641260,59.337916666666665,-6.690555555555556,70.0,4,L0,,22.92,,20.18,,15.95,15.06,14.6,,,,,,,,,,2002.0,,
2MASS J04012977-4050448,,J04012977-4050448,60.37416666666667,-40.84583333333334,36.0,4,L0,,,,,,14.53,13.72,13.18,,,,,,,,,,2000.0,,
2MASS J04062677-3812102,,J04062677-3812102,61.611666666666665,-38.20277777777778,124.0,?,L0,,,,,,16.77,15.71,15.11,,14.45,14.1,12.52,,,,,,2010.0,,
SDSS J170302.53+355824.2,,J17030252+3558243,255.76041666666666,35.973333333333336,47.6,9.1,L0,,21.97,,19.05,,15.07,14.41,13.97,,,,,,,,,,2008.0,,
SDSS J165850.26+182000.5,,J16585033+1819597,254.70958333333334,18.33361111111111,55.1,10.5,L0,,22.21,,19.77,,15.48,14.91,14.57,,,,,,,,,,2008.0,,
ULAS J032042.15+061837.1,,,50.17583333333334,6.310277777777777,,,L0,,25.37,,22.42,,18.06,17.48,,16.91,16.71,16.21,11.87,,,,,,2013.0,,
SDSS J165309.93+245039.8,,,253.29125,24.844444444444445,57.3,11,L0,,,,20.68,,16.59,15.87,15.4,,,,,,,,,,2010.0,,
SDSS J165301.98+413847.5,,,253.25833333333333,41.64666666666667,71.5,13.8,L0,,,,20.76,,16.73,16.22,15.48,,,,,,,,,,2010.0,,
SDSS J164540.16+290744.5,,J16454017+2907441,251.4175,29.129166666666666,71.7,13.8,L0,,22.94,,20.58,,16.6,15.72,,,,,,,,,,,2008.0,,
SDSSp J164010.59+003721.8,,J16401059+0037213,250.04416666666665,0.6225,87.0,?,L0,,,,,,16.53,15.69,15.18,,,,,,,,,,2002.0,,
SDSS J163817.31+321144.0,,J16381734+3211444,249.57208333333332,32.19555555555555,41.3,7.9,L0,,22.34,,19.81,,15.39,14.64,14.16,,,,,,,,,,2008.0,,
SDSSp J163600.79-003452.6,,J16360078-0034525,249.00333333333333,-0.5813888888888888,23.3,4.4,L0,,,,18.8,,14.59,13.9,13.42,,,,,,,,,,2000.0,,
SDSS J163355.23+010027.0,,J16335523+0100271,248.48,1.0075,59.7,28,L0,,22.51,,19.53,,15.61,15.04,14.49,,,,,,,,,,2008.0,,
SDSS J163142.02+243359.7,,,247.925,24.566666666666666,,,L0,,,,20.71,,,,,,,,,,,,,,2010.0,,
SDSS J163041.37+093844.3,,J16304139+0938446,247.6725,9.645833333333332,30.5,5.8,L0,,,,19.49,,14.87,13.94,13.3,,,,,,,,,,2003.0,,
SDSS J162838.35+625945.7,,,247.16,62.99611111111111,60.6,11.6,L0,,,,20.12,,15.77,15.16,14.66,,,,,,,,,,2010.0,,
2MASS J03420931-2904317,,J03420931-2904317,55.53875,-29.075555555555557,47.0,3.2,L0,,,,,,15.92,,,,,,,2100,1.48,13.0,,,,,
CFHTWIR-Oph 103,,J16281045-2424200,247.04375,-24.405555555555555,125.0,?,L0,,,,,,17.74,16.15,15.07,,,,,2250,,,,,2012.0,,
CFHTWIR-Oph 100,,,246.94375,-24.099722222222223,125.0,?,L0,,,,,,17.94,16.34,15.26,,,,,2250,,,,,2012.0,,
WISEA J043535.82+211508.9,,,68.89916666666667,21.2525,,,L0,,,,,,15.01,14.68,14.59,,14.0,13.67,,,,,,,2014.0,,
SDSS J160743.08+345947.3,,J16074308+3459470,241.92958333333334,34.99638888888889,34.0,6.5,L0,,22.43,,19.84,,15.42,14.51,13.96,,,,,,,,,,2008.0,,
USco J160737.99-224247.0,,J16073799-2242468,241.90833333333333,-22.713055555555556,145.0,15,L0,,,,,,16.95,15.87,15.84,,,,,2250,,16.0,,,2008.0,,
USco J160714.79-232101.2,,J16071478-2321011,241.81166666666667,-23.35027777777778,145.0,15,L0,,,,,,16.75,15.66,15.13,,,,,2250,,16.0,,,2008.0,,
