Star Number,RA (Decimal Degrees),DEC (Decimal Degrees),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
1980,315.96009155648494,31.4928901563528,315.96162248629,31.49374939121,0.0156256,0.0019109,149.42,1864697026937444096,315.96162248629,8.1186,31.49374939121,13.487,,,,,,,,,51,-0.2979,42.56,0.0,0.0,3,,,4,,false,75.9476,1.57137,20.986082,33.3633,20.5937,21.530369,69.4072,20.144384,1.353,1.385984,,,0,,,145793159615943043,,,,0.022633,0.670181,0.177443,20.986082,0.022633,75.9476,0.096,8.1186,13.487,-0.9621,5.626168
1981,101.57618298319701,-55.1453270137232,101.57964381144,-55.14563794248,0.0093774,0.0064385,129.03,5497299066454312960,101.57962525104,0.3724,-55.14562402251,0.3264,0.7253,0.357,2.0317,3.938,-2.387,0.519,3.132,0.482,277,1.9217,335.0,1.343,1.601,95,1.3385,0.0955,23,1.082,false,232.838,0.903091,19.769732,92.015,8.86632,20.428896,290.504,18.590015,1.643,1.838881,,,0,,,,,471599456,,0.005032,0.104656,0.037248,19.763627,0.005013,234.151,0.33,8.3367,7.7389,-0.3524,7.207688
1988,6.776546482569064,55.163855826267394,6.77955970843,55.16313201164,0.0032136,0.0020296,159.57,421145595191229696,6.77955133997,0.1046,55.16312618332,0.1227,0.4269,0.1699,2.5125,1.696,-1.076,0.136,-1.311,0.19,507,0.5429,540.7,0.0,0.0,31,,,24,1.017,false,673.872,0.881738,18.615923,277.474,7.74238,19.230486,543.69,17.909517,1.219,1.320969,,,0,,,174190067795526452,,,726018497,0.0031,0.030424,0.014668,18.615923,0.0031,673.872,-0.031,2.208,3.0937,-0.2972,6.722137
1991,343.24441093553435,-10.390796802885873,343.24518232248,-10.39209008205,0.0207943,0.0113925,42.1,2605220406047157376,343.24517123535,0.8244,-10.39214183542,0.7688,-0.9041,1.132,-0.7987,11.9,-2.454,1.026,-11.645,1.1,137,-0.9559,125.89,0.0,0.0,31,,,13,0.939,false,127.722,1.1125,20.4217,88.7018,24.4058,20.46871,101.946,19.726969,1.493,0.741741,,,0,,,95523432451749868,1237656536978883141,7126912,,0.00985,0.298747,0.129738,20.4217,0.00985,127.722,0.297,16.3043,17.2152,0.5363,5.397899
1992,241.10585322545188,-58.70526929393829,241.10668227755,-58.7056931778,0.0206709,0.0037278,107.21,5834804232354164480,241.10668227755,19.7763,-58.7056931778,7.0768,,,,,,,,,42,3.2744,71.88,8.244,16.95,3,,,3,,false,80.4559,1.98362,20.923473,32.8646,10.254,21.54672,51.6254,20.465736,1.05,1.080984,,,0,,,,,,,0.02691,0.33877,0.350317,20.923473,0.02691,80.4559,-0.174,19.7763,7.0768,-0.8348,2.175332
1993,219.3288202120324,-26.636078876016214,219.32929664656,-26.63631619948,0.0057523,0.0045039,109.71,6223493648690058496,219.32926769216,0.2973,-26.63632912443,0.223,0.6702,0.3042,2.2031,6.509,-5.823,0.346,-2.908,0.29,198,-0.6275,189.18,0.0,0.0,31,,,14,0.967,false,375.908,1.32946,19.249664,173.187,10.1183,19.742254,258.667,18.716043,1.149,1.026211,,,0,,,76032193293326777,,103057768,,0.004726,0.063494,0.035268,19.249664,0.004726,375.908,-0.07,5.6242,4.6628,-0.155,1.755119
1998,287.72528855516356,-31.29660093697747,287.72442991851,-31.29698311771,8.387E-4,6.224E-4,56.1,6757289712010908160,287.72441579168,0.0407,-31.29698923147,0.0395,0.0349,0.0484,0.7206,3.045,-2.716,0.048,-1.376,0.043,218,-0.4295,211.38,0.0,1.377E-15,31,,,16,0.978,false,6677.09,3.73889,16.125898,2198.24,7.47993,16.983356,6380.76,15.235715,1.285,1.747642,,,0,,,70442877244403904,,228809214,,0.002822,0.00463,0.004207,16.125898,0.002822,6677.09,-0.016,0.7779,0.6969,0.2699,2.97816
1999,114.15305306277358,-29.00082935260029,114.15348093803,-29.00019468514,0.0036044,0.0031654,14.75,5599639375388570624,114.15347049234,0.1421,-29.0001958981,0.1723,0.2848,0.2434,1.1703,2.074,-2.056,0.198,-0.273,0.222,444,-0.4783,443.1,0.0,0.0,31,,,25,0.983,false,407.831,0.810412,19.161165,151.414,5.14463,19.888126,366.053,18.339035,1.269,1.549091,,,0,,,73201141534750057,,36657369,,0.0035,0.036996,0.016048,19.161165,0.0035,407.831,-0.007,3.1957,3.5775,0.064,2.652416
2003,267.1580684155143,-52.316766251187744,267.15857923311,-52.31611973438,0.0151466,0.0122297,95.39,5945245502391531392,267.15854594517,0.7578,-52.31613280804,0.6676,-0.2607,0.8918,-0.2923,5.442,-4.579,0.933,-2.942,0.745,237,-0.4095,230.38,0.0,0.0,95,1.6736,0.1838,16,0.98,false,107.944,0.816195,20.604368,57.8271,5.8766,20.933212,90.943,19.850973,1.378,1.082239,,,0,,,,,,,0.00866,0.110372,0.103847,20.607323,0.008681,107.651,0.154,15.1233,12.2584,-0.0403,2.58472
2005,198.43504810713378,-36.02307733542353,198.43469172246,-36.02106541066,5.793E-4,4.414E-4,107.77,6166675015231036416,198.43464090445,0.0277,-36.02106971819,0.0236,0.4878,0.0336,14.5254,9.299,-9.248,0.035,-0.969,0.028,263,2.2002,324.56,0.057,0.5011,31,,,16,1.097,false,12520.5,4.62511,15.443314,6648.34,12.6887,15.781759,8398.93,14.937336,1.202,0.844423,,,0,,,,,96450173,,0.002784,0.003475,0.004459,15.443314,0.002784,12520.5,-0.001,0.5679,0.456,-0.1579,7.316883
2006,103.39091339518168,-17.87687628192596,103.39334315075,-17.87627636348,0.0017435,0.0011674,136.95,2933934014361901440,103.39334167081,0.0702,-17.87627099923,0.0868,0.1002,0.1173,0.8545,1.248,-0.317,0.091,1.207,0.093,371,0.0594,379.92,0.0,0.0,95,1.4489,0.0218,20,1.001,false,1436.91,1.37364,17.793793,,,,,,,,,,0,,,86541033933178848,1237676677148049864,,,0.002944,,,17.793793,0.002944,1436.91,,1.4644,1.5028,-0.3801,8.600394
2007,112.59477521420496,5.280487904957695,112.59520641755,5.2823019763,0.0019226,0.0013648,24.5,3141291427634692352,112.59520641755,1.4758,5.2823019763,1.8387,,,,,,,,,80,1.181,89.66,0.974,0.1443,3,,,7,,false,106.407,1.40199,20.619946,59.8891,10.713,20.895172,79.3147,19.999512,1.308,0.89566,,,0,,,114331125952319177,,,,0.014568,0.194237,0.126773,20.619946,0.014568,106.407,0.101,1.4758,1.8387,0.255,6.711095
2008,98.33661523033629,20.631656992422037,98.33611041428,20.63208757445,0.0069409,0.0050449,95.12,3372771537613905664,98.3360997474,0.3604,20.63200872883,0.3754,0.1797,0.5144,0.3493,17.882,-2.246,0.439,-17.74,0.31,162,-1.7681,131.53,0.0,0.0,95,1.4357,0.0947,14,0.9,false,348.631,1.3282,19.331451,85.3808,7.26432,20.510141,400.929,18.240227,1.395,2.269915,,,0,,,132750983361128950,,,,0.00497,0.092418,0.02227,19.317874,0.004927,353.018,0.022,6.9279,5.0628,-0.0576,2.301184
2009,94.36854032142136,8.772962573362676,94.36909535818,8.77464491856,0.0020243,0.00166,102.35,3328739807773150080,94.36909593907,0.0986,8.77463618128,0.0911,0.1827,0.113,1.6161,1.97,0.129,0.124,-1.966,0.102,227,1.3235,261.18,0.27,0.9542,31,,,17,1.062,false,1375.36,1.78204,17.841324,613.382,12.8105,18.369213,1047.67,17.197334,1.208,1.171879,,,0,,,118530943690760048,,,494066280,0.003094,0.022847,0.014755,17.841324,0.003094,1375.36,-0.026,2.0091,1.6784,-0.0831,6.370254
2016,277.88114036851454,-3.5917541136758047,277.88003286836,-3.59317344263,0.0187462,0.0159704,42.42,4257929834506439552,277.88001217869,0.9239,-3.5932076122,1.1716,-0.799,1.3794,-0.5792,8.983,-4.646,1.075,-7.688,1.061,148,4.0053,230.92,4.14,4.51,95,1.6743,0.2903,13,1.244,false,118.996,1.35838,20.498533,32.118,6.68534,21.57167,251.685,18.745754,2.385,2.825916,,,0,,,103682778800288605,,276904356,,0.012697,0.226012,0.043411,20.475478,0.012442,121.55,0.93,17.2888,17.5378,0.1583,6.476234
2019,289.28922353902993,81.34718964024367,289.27665865761,81.34598628279,0.0067094,0.0053803,56.72,2295489565345406464,289.27674120679,0.3144,81.34604423415,0.2817,1.0937,0.3201,3.4169,13.335,2.795,0.402,13.039,0.361,326,0.236,367.2,0.627,0.4076,95,1.1591,0.0904,26,1.008,false,212.659,0.793256,19.868158,58.6798,6.06061,20.91732,263.394,18.696383,1.515,2.220938,,,0,,,205612892768895864,,,,0.004898,0.112173,0.033486,19.855455,0.00486,215.161,0.148,6.3386,5.8126,0.2001,8.067505
2020,233.86705500687344,76.47858063766566,233.87120105924,76.47774191348,0.0018213,0.0016076,78.86,1706993485749958784,233.87119837754,0.0875,76.4777155036,0.0721,0.1884,0.0817,2.3069,5.944,-0.141,0.114,-5.942,0.1,298,1.3127,338.64,0.258,1.045,31,,,21,1.054,false,1538.9,1.50487,17.719343,830.116,10.8562,18.040695,1002.05,17.245672,1.191,0.795023,,,0,,,199772338711544088,,,833054359,0.002953,0.014471,0.012998,17.719343,0.002953,1538.9,-0.009,1.8138,1.6161,0.0474,4.614774
2025,275.71873169396724,8.859282208729752,275.71959417098,8.85927911345,0.0034,0.0030227,28.04,4478719367168903808,275.71958528293,0.1575,8.85926671307,0.1654,0.1684,0.2023,0.8324,3.419,-1.976,0.195,-2.79,0.206,206,0.4653,218.69,0.239,0.281,31,,,15,1.022,false,695.107,1.3567,18.582237,284.712,5.38212,19.202528,571.283,17.855766,1.231,1.346762,,,0,,,118632757196331616,,,495281921,0.003476,0.020713,0.016238,18.582237,0.003476,695.107,-0.021,3.11,3.3203,0.0974,3.067894
2026,234.4126874242689,25.945879650150843,234.41245976094,25.94631263224,0.023248,0.0112181,14.74,1222360959598781440,234.41246835466,0.6496,25.94632147757,1.0457,1.2864,1.4995,0.8579,2.643,1.739,0.761,1.99,1.416,573,27.1394,2513.11,10.414,58.89,95,1.0486,0.1938,24,1.905,false,156.308,0.939321,20.202415,386.762,13.7282,18.869934,878.809,17.388159,8.097,1.481775,,,0,,,139132344124586135,1237664852578336833,,580194296,0.007083,0.038639,0.025656,20.201545,0.007078,156.433,6.829,12.3561,22.6637,0.3642,1.724179
2027,123.19379785607171,-38.81529915457038,123.19372471024,-38.81562890926,0.0334455,0.015004,12.63,5540747337875866368,123.19371254188,0.7483,-38.81560534033,1.0301,0.7441,1.1548,0.6444,5.716,-2.133,1.038,5.303,2.048,147,-1.4437,148.17,0.0,0.0,95,1.2087,0.2571,11,0.913,false,88.0872,1.00064,20.825085,34.468,7.26787,21.495003,93.0281,19.82636,1.447,1.668642,,,0,,,,,,,0.012638,0.228954,0.1074,20.821637,0.012599,88.3674,0.156,16.3661,32.8004,0.3552,1.204717
2028,133.09687757884356,58.62099472671116,133.09954889606,58.62158689754,3.898E-4,2.985E-4,0.05,1037498214193811712,133.09952578243,0.0178,58.62158323507,0.0189,0.6231,0.029,21.5134,2.83,-2.708,0.018,-0.824,0.024,534,-1.6339,497.47,0.0,0.0,31,,,23,0.95,false,14666.1,3.38287,15.271582,7582.76,9.84557,15.638973,10032.3,14.744397,1.201,0.894576,,,0,,,178341330994996616,1237663546905526393,,744221245,0.002767,0.003126,0.003886,15.271582,0.002767,14666.1,-0.006,0.2985,0.3898,5.0E-4,5.442273
2030,197.6426059684913,-75.1942709367516,197.64206768006,-75.19393860241,7.573E-4,7.316E-4,148.34,5837421413576255744,197.64194502232,0.0339,-75.19394985764,0.0315,0.5421,0.0359,15.0958,7.493,-7.053,0.045,-2.532,0.047,324,3.4551,431.82,0.156,2.504,31,,,25,1.139,false,8138.91,4.49543,15.910952,3998.02,8.85089,16.333931,6089.43,15.286454,1.239,1.047477,,,0,,,,,397925950,,0.00282,0.003683,0.00416,15.910952,0.00282,8138.91,0.018,0.7387,0.7503,-0.0309,1.29484
2037,298.0985653457401,12.166776851375772,298.09787349397,12.16772876144,0.0045342,0.0015329,60.16,4304883383352099200,298.09787349397,4.0063,12.16772876144,2.6189,,,,,,,,,51,0.0143,45.47,0.0,0.0,3,,,5,,false,82.5,1.94652,20.89623,26.2341,6.55641,21.791378,101.085,19.736176,1.543,2.055203,,,0,,,122602980979061827,,,,0.025765,0.271361,0.209573,20.89623,0.025765,82.5,0.201,4.0063,2.6189,0.7491,4.203728
2038,280.0234476492015,6.558109558653726,280.02415569069,6.55910473011,0.0098195,0.009018,165.27,4286355822160153984,280.02414666872,0.4886,6.55908294365,0.5915,0.6101,0.6462,0.9442,5.301,-2.017,0.559,-4.902,0.589,185,-0.9378,171.8,0.0,0.0,31,,,13,0.949,false,180.722,1.09169,20.044842,70.6942,7.36544,20.715082,166.338,19.195415,1.312,1.519667,,,0,,,115872800241341440,,,,0.007114,0.113154,0.054917,20.044842,0.007114,180.722,0.039,9.072,9.7697,-0.0419,4.3872
2042,159.99858497820122,-55.3683142258736,159.99727803582,-55.3663974074,0.0082554,0.0063773,79.64,5353682030160446848,159.99724543493,0.4002,-55.36638758122,0.3715,0.2504,0.4688,0.534,4.719,-4.169,0.513,2.211,0.401,274,0.0078,279.75,0.0,0.0,95,1.4854,0.1047,23,0.999,false,197.822,0.897894,19.94668,57.0795,4.26896,20.947342,177.752,19.12336,1.187,1.823982,,,0,,,,,,,0.005646,0.08125,0.047775,19.940817,0.005623,198.893,-0.124,8.2014,6.4466,0.0919,7.400495
2043,140.03989115772362,-52.295261851931805,140.04089825435,-52.29492434944,0.0041267,0.0038079,110.41,5313147430196637696,140.04086494206,0.1873,-52.29490375031,0.2014,0.399,0.2275,1.754,6.519,-4.584,0.256,4.635,0.239,352,-0.9603,345.24,0.0,0.0,95,1.3033,0.0618,24,0.963,false,342.496,0.798136,19.350727,86.028,5.63851,20.501942,364.896,18.342472,1.317,2.15947,,,0,,,,,432363000,,0.003741,0.071217,0.016752,19.339118,0.003723,346.178,-0.041,4.0893,3.8481,-0.0525,2.52843
2051,127.66134169301388,-47.06914125181677,127.66207291715,-47.0704570111,0.0027308,0.0023156,157.32,5521713653428569984,127.66187743975,0.1074,-47.07048938878,0.1281,2.5047,0.1297,19.318,30.829,-29.956,0.148,-7.285,0.165,380,0.2974,426.52,0.495,1.581,95,1.2625,0.0369,26,1.01,false,684.354,1.07616,18.599165,153.162,6.46668,19.875664,814.865,17.47018,1.415,2.405483,,,0,,,,,441665617,,0.003241,0.045926,0.013356,18.583173,0.003228,694.508,0.022,2.3819,2.6732,-0.1171,5.064713
2056,294.1607586426322,-3.3360352067261516,294.1583740371,-3.3363595346,0.0038965,0.0027067,64.33,4213691469490363008,294.15834645836,0.1929,-3.33637528398,0.1597,0.3717,0.2507,1.4828,7.137,-6.195,0.232,-3.544,0.184,257,0.0956,270.15,0.256,0.241,95,1.3364,0.0463,16,1.003,false,557.966,1.11723,18.820848,200.003,8.59274,19.585953,556.944,17.883366,1.357,1.702587,,,0,,,103992941583396784,,293505926,,0.00351,0.04673,0.014429,18.816891,0.003505,560.003,0.061,3.7025,2.9665,0.2793,8.649201
2061,86.65608203616365,15.105417166868278,86.65645352375,15.10432796106,0.004004,0.0027642,101.99,3347957930999286272,86.65645896458,0.208,15.10432185564,0.1648,0.0394,0.2514,0.1569,1.812,1.182,0.245,-1.374,0.168,473,2.3646,566.62,0.519,1.377,31,,,18,1.078,false,578.194,0.913591,18.782183,265.033,6.38047,19.280293,410.036,18.21584,1.168,1.064453,,,0,,,126120866564555701,,,,0.003246,0.026287,0.018914,18.782183,0.003246,578.194,-0.055,3.9585,2.829,-0.1523,4.128246
2062,264.25858660984926,-60.186105326691916,264.258168989,-60.18513382792,6.738E-4,4.702E-4,39.06,5912356601348354176,264.25814074537,0.0359,-60.1851458669,0.0305,0.972,0.0484,20.0668,4.162,-3.16,0.034,-2.709,0.037,546,-0.8242,535.98,0.0,0.0,31,,,21,0.974,false,6124.53,2.22119,16.219685,2733.73,7.20403,16.746655,4849.09,15.533746,1.238,1.212909,,,0,,,,,372869492,,0.002783,0.003996,0.004032,16.219685,0.002783,6124.53,0.0,0.5599,0.6012,0.3384,3.576384
2064,173.68318561542162,-70.9118401923977,173.68322191164,-70.91121322034,3.701E-4,3.014E-4,33.76,5233555643194693504,173.68309101168,0.015,-70.91123673379,0.0165,0.8719,0.0184,47.4481,10.989,-9.632,0.02,-5.291,0.022,382,3.3904,487.49,0.083,2.622,31,,,28,1.125,false,28103.4,5.5754,14.565469,13330.6,11.6743,15.026415,21139.5,13.935159,1.227,1.091256,,,0,,,,,450842316,,0.002764,0.002948,0.003825,14.565469,0.002764,28103.4,0.001,0.3242,0.3504,0.1877,2.257504
2065,219.37731099586838,-82.8346355481725,219.36638172991,-82.83347816413,0.0195226,0.0157387,166.67,5771723704025188224,219.36627269143,0.7333,-82.83348753918,0.6415,-0.9085,0.7591,-1.1968,3.717,-3.061,0.972,-2.109,1.202,208,-1.6083,189.29,0.0,0.0,31,,,18,0.92,false,103.717,0.763347,20.64774,64.237,8.16339,20.81908,74.766,20.063635,1.34,0.755446,,,0,,,,,,,0.008453,0.138006,0.086994,20.64774,0.008453,103.717,0.144,15.9625,19.3401,-0.097,6.438139
2066,279.08963055705215,-7.529490328710679,279.09066538494,-7.52936389826,0.0046945,0.0026825,50.24,4252813635099535488,279.09065521328,0.1981,-7.52938537023,0.2086,0.3623,0.2337,1.5503,5.337,-2.269,0.248,-4.831,0.224,196,-1.5033,169.94,0.0,0.0,31,,,16,0.922,false,643.359,1.4864,18.666235,164.701,8.62667,19.7968,699.649,17.635695,1.343,2.161106,,,0,,,98962790906685141,,272312839,,0.003726,0.056937,0.011351,18.666235,0.003726,643.359,-0.014,3.996,3.6422,0.5014,3.721199
2070,74.0124804965128,-5.9016153035832275,74.01392948749,-5.89980356661,0.0021112,9.985E-4,116.66,3188186590695050880,74.01393973102,0.0768,-5.89981670954,0.051,0.7592,0.1012,7.5012,3.742,2.293,0.12,-2.957,0.08,402,0.2112,420.79,0.0,0.0,31,,,21,1.007,false,1829.12,1.40588,17.531761,655.372,7.15163,18.297321,1672.71,16.689342,1.273,1.607979,,,0,,,100920740139180601,,25177038,421010744,0.002879,0.012172,0.00765,17.531761,0.002879,1829.12,-0.011,1.9393,1.3013,-0.5498,8.334428
2075,248.5651387373987,-60.73755226924064,248.56482174857,-60.73772889189,0.0310385,0.0258919,134.12,5830778817154461056,248.56480924028,1.6751,-60.73776119529,0.8851,-1.4228,1.6931,-0.8403,7.397,-1.376,1.808,-7.268,1.798,310,2.361,400.96,3.344,2.377,95,1.2721,0.2222,14,1.096,false,85.2752,0.711025,20.860312,28.7758,9.29988,21.690971,82.9492,19.950865,1.31,1.740107,,,0,,,,,,,0.009463,0.350903,0.066819,20.855779,0.009427,85.6319,0.01,28.6601,28.5022,-0.1793,0.84584
2076,290.1809443945256,5.359523788549453,290.18096361671,5.35826622108,0.0040738,0.0026624,39.17,4293668261674550656,290.18096623081,0.1556,5.35825750727,0.1658,0.2702,0.1844,1.4648,2.046,0.586,0.205,-1.961,0.224,268,-0.9062,261.45,0.0,0.0,95,1.3056,0.0401,16,0.959,false,554.577,1.27889,18.827463,114.525,6.3241,20.191292,679.044,17.66815,1.431,2.523142,,,0,,,114432901809910388,,,,0.003723,0.06002,0.010307,18.809405,0.003695,563.877,0.021,3.2988,3.578,0.3945,4.527767
2080,264.6464648446812,-23.43720512405949,264.64637018415,-23.43676441272,0.0340149,0.0173677,66.81,4116507423505618176,264.64635762443,1.7118,-23.43678578984,1.4341,-2.9165,2.046,-1.4255,5.464,-2.593,1.971,-4.81,1.22,296,11.5225,720.12,4.152,9.559,95,1.296,0.2028,11,1.513,false,133.61,0.994521,20.372768,86.3693,6.03494,20.497644,379.388,18.300186,3.486,2.197458,,,0,,,79872646463246158,,,,0.008538,0.075916,0.04272,20.360484,0.008452,135.13,2.123,32.0055,20.8397,0.4642,1.617076
2081,144.2815446106172,-65.50814258385726,144.28044567007,-65.50710335518,5.687E-4,4.878E-4,79.56,5249232514338249728,144.28031959096,0.0256,-65.50706421865,0.025,0.5056,0.027,18.7594,14.692,-11.761,0.036,8.806,0.031,379,-0.1195,386.41,0.0,0.0,31,,,28,0.995,false,8962.01,3.11429,15.806354,4511.21,10.4678,16.20281,6344.53,15.241896,1.211,0.960915,,,0,,,,,457321996,,0.002781,0.003759,0.004148,15.806354,0.002781,8962.01,-0.002,0.5662,0.4907,0.0548,4.084943
2085,155.5921377956086,-64.22796825667992,155.59159445031,-64.22707578159,0.0357486,0.0212762,152.76,5251654429209907840,155.5915517438,1.3803,-64.22707282209,1.1504,-2.5937,1.3105,-1.9792,4.231,-4.178,1.57,0.666,2.074,96,1.3316,112.04,2.879,1.384,95,0.7815,0.339,10,1.097,false,88.6847,1.18686,20.817745,55.5461,29.9191,20.976908,110.657,19.637949,1.874,1.338959,,,0,,,,,,,0.014789,0.584822,0.563562,20.81854,0.0148,88.6198,0.623,25.0109,33.2429,-0.4039,3.32357
2091,298.68918602214626,1.882539088336415,298.68751428021,1.88182975635,0.0019603,0.0013756,81.43,4240612874268271616,298.68751163437,0.0974,1.88180477493,0.0706,0.0967,0.1205,0.8026,5.652,-0.595,0.121,-5.621,0.088,366,1.8095,428.49,0.252,0.9327,31,,,19,1.067,false,1335.5,1.35542,17.873255,640.289,6.99081,18.322601,973.41,17.277157,1.208,1.045445,,,0,,,110252986875168645,,,460453487,0.002967,0.012178,0.010189,17.873255,0.002967,1335.5,-0.013,1.9492,1.3912,0.106,6.534628
2092,181.35231532296206,-52.80985317347669,181.3499422242,-52.80813349702,0.0070667,0.0045308,44.21,6125220918620439040,181.34989976428,0.268,-52.80812224056,0.2559,-0.0163,0.3888,-0.0418,6.306,-5.775,0.365,2.533,0.369,549,1.5978,624.5,0.923,1.053,95,1.4847,0.0693,26,1.048,false,198.623,0.679303,19.942295,97.0995,4.26302,20.370499,131.432,19.451143,1.151,0.919355,,,0,,,,,,,0.004624,0.047749,0.030248,19.945956,0.004634,197.954,-0.059,5.9017,5.9696,0.4172,8.061919
2093,44.182972389254836,50.504624132206175,44.18301422688,50.50309297893,0.0152127,0.0018084,42.48,439617119956141440,44.18301422688,10.3606,50.50309297893,11.2851,,,,,,,,,97,0.0955,92.63,0.0,0.0,3,,,5,,false,81.3828,1.6179,20.911036,,,,,,,,,,0,,,,,,,0.02176,,,20.911036,0.02176,81.3828,,10.3606,11.2851,0.9719,5.512984
2095,160.97066250816746,-49.549402221231844,160.96751535648,-49.54970797388,0.0020968,0.0018838,93.98,5361315144822465536,160.96748177622,0.1029,-49.54970595704,0.0928,0.0715,0.1267,0.564,4.923,-4.902,0.129,0.454,0.117,394,0.9546,433.43,0.304,0.8153,31,,,24,1.034,false,814.214,1.07938,18.41052,327.159,11.3101,19.051643,685.853,17.657318,1.244,1.394325,,,0,,,,,414084430,,0.003109,0.037638,0.011367,18.41052,0.003109,814.214,-0.014,2.0958,1.8849,-0.0148,7.432583
2097,214.94502342819126,-48.30372033191515,214.94128230274,-48.30453149879,0.0229138,0.0164558,136.83,6092427056595597184,214.94125307151,0.7157,-48.3045479613,0.8082,-0.1988,1.4494,-0.1371,5.732,-4.375,1.222,-3.704,1.23,151,0.1678,157.95,0.94,0.2198,95,0.9022,0.23,12,1.008,false,115.715,1.00593,20.528893,45.6037,5.89976,21.191042,66.6266,20.188776,0.97,1.002266,,,0,,,,,,,0.009832,0.14049,0.127721,20.532265,0.009861,115.356,-0.247,19.7429,20.1508,-0.3189,9.422562
2102,21.7394327788339,52.88635015167114,21.73917132897,52.88376155432,0.0051218,0.0046537,25.96,407390086251281024,21.7391668238,0.1885,52.88375897892,0.1963,0.0579,0.304,0.1906,0.843,-0.612,0.297,-0.579,0.312,399,0.7553,433.95,0.0,0.0,31,,,20,1.026,false,302.443,0.759413,19.485758,115.936,5.65815,20.178,261.756,18.703156,1.249,1.474844,,,0,,,171460217391331195,,,715044633,0.003876,0.053062,0.022746,19.485758,0.003876,302.443,-0.018,4.747,5.0355,0.0754,9.336241
2104,303.41073223970955,-27.31961325976119,303.41040951995,-27.32104749438,0.0028985,0.0018703,71.24,6846781707867498240,303.41037651135,0.1437,-27.32107252644,0.1093,0.5587,0.178,3.1395,8.675,-6.598,0.173,-5.632,0.126,281,2.0982,341.85,0.525,2.096,31,,,18,1.089,false,952.697,1.47177,18.239979,405.377,13.181,18.818893,763.741,17.540531,1.227,1.278362,,,0,,,75213034103835031,,235549153,,0.003226,0.035413,0.010692,18.239979,0.003226,952.697,-0.018,2.8096,2.0013,0.2655,5.265409
2112,10.794692330921642,66.76490646260626,10.79378693606,66.76583049577,0.0077943,0.0057855,154.63,529181305635425280,10.79373588937,0.3152,66.76583504842,0.3212,-0.0622,0.4048,-0.1537,4.645,-4.531,0.387,1.024,0.465,336,2.5545,420.95,1.603,2.642,95,1.344,0.097,24,1.1,false,217.592,0.72573,19.843262,65.1603,4.3419,20.803585,243.1,18.783432,1.417,2.020153,,,0,,,188110107937939744,,,,0.00455,0.072401,0.030171,19.834101,0.004526,219.435,0.079,6.2032,7.4662,-0.228,3.566385
2119,154.68044823460255,-54.94830118997385,154.68121910593,-54.94792495757,0.0043164,0.0038015,54.91,5355266181606999552,154.68118460187,0.1913,-54.94791306646,0.1988,0.2246,0.2399,0.9363,5.2,-4.459,0.258,2.676,0.245,316,-0.6404,324.14,0.0,0.0,95,1.2313,0.0624,25,0.973,false,350.551,0.834035,19.325489,76.4336,4.7298,20.630331,428.617,18.16772,1.441,2.46261,,,0,,,,,,,0.003777,0.067244,0.021202,19.308489,0.00375,356.083,0.04,4.1533,3.9791,0.119,2.091586
2120,150.75160842858543,67.32909680676434,150.75606004192,67.32870271585,0.0024133,0.0017109,41.16,1066701822846513152,150.75602419774,0.0963,67.3286760547,0.1067,1.428,0.1379,10.3585,6.756,-3.109,0.127,-5.999,0.131,438,0.9517,483.03,0.312,0.8414,31,,,30,1.032,false,819.539,1.06792,18.403442,174.805,8.07243,19.732159,1000.6,17.24725,1.434,2.484909,,,0,,,188791507559865153,,,787117747,0.003097,0.050217,0.013338,18.403442,0.003097,819.539,0.03,2.045,2.1375,0.3284,6.33783
2121,298.0298638267027,54.9689413597298,298.02909273874,54.96924582265,0.034623,0.0188009,135.68,2137996310057773440,298.0290185199,1.2604,54.96921979995,1.3173,0.5776,1.2814,0.4508,11.232,-9.586,1.72,-5.855,1.705,118,1.7409,148.65,3.366,1.612,95,1.5564,0.3914,12,1.115,false,90.5589,1.42503,20.795038,43.4552,13.6804,21.243439,103.887,19.70649,1.627,1.536949,,,0,,,173962980289303899,,,,0.017306,0.341818,0.09498,20.79345,0.017281,90.6914,0.352,27.6771,28.0393,-0.5445,1.934004
