Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
6679,27.534805,-64.055345,27.53541277355,-64.05525504962,0.0161776,0.0147249,95.48,4711394508838824064,27.53488720391,0.571,-64.05534067207,0.5236,12.3551,0.6472,19.0899,55.207,-51.736,1.009,-19.265,0.922,285,1.8795,373.85,2.795,3.09,95,1.0964,0.1784,22,1.079,false,112.906,0.751044,20.555576,31.1512,5.67319,21.604855,201.097,18.98938,2.057,2.615475,,,0,,,,,,,0.00773,0.197752,0.050422,20.535935,0.007609,114.967,0.633,16.1649,14.7388,-0.0179,1.010539
6685,351.214856,-42.936617999999996,351.21453417381,-42.93662604417,0.0150464,0.0093125,25.16,6535862084642608384,351.21495059525,0.6004,-42.93664326475,0.7265,10.7222,0.8862,12.0992,68.704,68.595,0.657,-3.874,0.874,240,2.6865,322.68,2.829,3.073,95,0.9139,0.1899,18,1.125,false,122.134,0.82134,20.470272,30.5265,5.85212,21.626848,213.694,18.923414,2.0,2.703434,,,0,,,,,1786905,,0.007804,0.208161,0.03477,20.449166,0.007673,124.532,0.563,10.5815,14.1827,0.3581,0.848695
6695,356.412976,0.9203,356.41263160704,0.92048067815,0.0046037,0.0026223,54.52,2643353084205753728,356.41304551051,0.1903,0.92021879998,0.1629,19.9182,0.2086,95.4941,110.193,93.116,0.25,-58.923,0.212,248,1.1146,376.64,0.948,5.268,95,1.1012,0.041,15,1.05,false,782.26,1.62611,18.453989,52.5062,10.3819,21.038015,1462.28,16.83532,1.936,4.202696,,,0,,,109103564128084873,1237663278463058160,16523319,,0.003562,0.214698,0.008014,18.428398,0.003529,800.917,0.288,4.0462,3.4203,0.4889,1.399935
6702,337.676823,1.197346,337.67656842603,1.19729702226,0.0214991,0.015898,36.08,2702395071911575168,337.67689078784,0.7369,1.19731693162,0.8002,15.8201,0.8861,17.8535,72.654,72.516,1.133,4.48,1.234,151,3.8549,236.47,3.351,4.798,95,1.3029,0.2256,13,1.232,false,155.474,2.39444,20.20822,66.9793,18.5069,20.773691,281.07,18.62586,2.239,2.147831,,,0,,,109433376767847232,1237678595933209362,16274831,,0.016947,0.30001,0.049773,20.196818,0.016774,157.116,0.883,18.0383,19.7377,0.28,0.933077
6722,12.214459999999999,1.288238,12.21482876512,1.28841599377,0.0498711,0.0281523,55.03,2549244165998824192,12.21446019775,1.6632,1.28816687084,0.7212,10.9657,1.9794,5.5399,100.077,-82.907,2.799,-56.053,2.302,232,16.6068,1076.52,3.301,10.7,95,1.1445,0.2597,12,1.874,false,87.108,0.818802,20.837221,41.5383,7.78837,21.292421,159.127,19.24354,2.304,2.048882,,,0,,,109540122146476362,1237678617423184788,16732543,,0.010571,0.203593,0.075875,20.82756,0.010484,87.8865,0.962,43.9363,36.7326,0.4932,1.473807
6771,337.031863,-56.905957,337.03202214948,-56.90598437393,0.0021506,0.0010683,178.51,6504776829341375616,337.03202214948,1.0693,-56.90598437393,2.15,,,,,,,,,106,3.6305,160.97,4.089,2.765,3,,,9,,false,80.1221,0.971147,20.927986,19.6954,4.95813,22.102633,157.252,19.256401,2.208,2.846232,,,0,,,,,,,0.013445,0.273339,0.090142,20.927986,0.013445,80.1221,0.75,1.0693,2.15,-0.0393,0.327987
6773,55.286348999999994,-27.853108,55.2864167779,-27.8531144418,0.0023171,0.0013098,153.66,5081250051256235776,55.2864167779,1.5604,-27.8531144418,2.1562,,,,,,,,,72,0.6944,74.65,0.0,0.0,3,,,9,,false,66.8254,1.71624,21.125013,160.802,190.799,19.822815,157.095,19.257486,4.757,0.565329,,,0,,,74570552863466507,,,,0.02802,1.288278,0.06374,21.125013,0.02802,66.8254,3.574,1.5604,2.1562,-0.4318,0.216975
6820,25.633385999999998,-51.162817,25.63283389433,-51.16313387233,0.0062128,0.004986,139.12,4916585751067512576,25.63354666959,0.2904,-51.16280239347,0.292,19.6826,0.3594,54.7597,125.209,100.572,0.352,74.583,0.365,357,1.2338,449.52,1.39,2.606,95,1.0804,0.0795,27,1.046,false,260.205,0.810723,19.649078,26.4126,4.74715,21.784014,465.01,18.07924,1.889,3.704773,,,0,,,,,503676913,,0.004363,0.19516,0.015096,19.623487,0.004302,266.411,0.307,5.5447,5.7197,-0.2144,1.689635
6828,336.008835,-49.652761999999996,336.00885116436,-49.65279602212,0.0040652,0.0019526,38.07,6511842531579508864,336.00885116436,2.9403,-49.65279602212,3.4194,,,,,,,,,121,13.6404,470.79,6.339,10.21,3,,,6,,false,70.3641,1.30059,21.06899,36.7966,3.90391,21.424023,141.674,19.369675,2.536,2.054348,,,0,,,,,,,0.020257,0.115224,0.071307,21.06899,0.020257,70.3641,1.194,2.9403,3.4194,0.6138,0.128143
6915,77.068147,-45.964169,77.06804547607,-45.9642075739,0.0105571,0.0077302,14.79,4810439787578968960,77.06820740524,0.3897,-45.96414560889,0.5008,11.6413,0.4523,25.7398,28.91,25.326,0.494,13.942,0.639,312,3.1365,442.11,2.4,3.618,95,1.0263,0.1255,24,1.128,false,160.475,0.829306,20.173851,23.146,3.97334,21.927351,287.076,18.602903,1.933,3.324448,,,0,,,,,501951446,,0.006251,0.186402,0.032225,20.14826,0.006134,164.302,0.405,7.945,10.3964,0.1544,0.289528
