Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
15132,8.045129,-63.6878,8.04544407322,-63.68759580636,0.0139751,0.0091906,155.75,4900646268437953920,8.04519896644,0.452,-63.68782611106,0.4119,9.3617,0.5679,16.4839,57.295,-24.446,0.632,-51.819,0.833,288,-0.2119,308.68,0.0,0.0,95,0.9105,0.1363,22,0.99,false,143.442,0.76667,20.29568,38.6687,6.72635,21.370144,237.718,18.807741,1.927,2.562403,,,0,,,,,499094717,,0.006424,0.188883,0.04239,20.276944,0.006334,145.938,0.511,10.1571,13.2893,-0.3075,0.890592
15146,24.034869,-45.21754,24.03476331861,-45.21753567495,0.0076828,0.005376,167.16,4931435613376972288,24.03493726317,0.2897,-45.21755542446,0.3915,6.9409,0.477,14.5525,27.925,27.569,0.345,-4.444,0.484,498,1.8176,622.21,1.237,1.192,95,0.9387,0.1014,29,1.058,false,158.61,0.583397,20.186537,37.1629,6.20587,21.413267,271.376,18.663965,1.945,2.749302,,,0,,,,,504168690,,0.004852,0.181329,0.026481,20.164687,0.004787,161.835,0.502,5.5125,7.5854,-0.1561,0.268449
15147,319.305288,-50.364975,319.30551526381,-50.36477403229,0.0116978,0.0098604,80.72,6478569797894681088,319.30529206308,0.5207,-50.36503658147,0.5012,8.1222,0.7912,10.2654,67.201,-32.035,0.729,-59.074,0.612,252,1.5798,319.91,1.987,2.195,95,1.0438,0.1581,16,1.071,false,143.735,0.676722,20.29346,36.1155,4.4543,21.44431,234.18,18.824022,1.881,2.620287,,,0,,,,,487839496,,0.005807,0.133938,0.053823,20.273737,0.005726,146.37,0.456,11.6536,9.9126,0.0546,0.892078
15154,40.600654,-51.940162,40.60082706996,-51.94016909162,0.0077293,0.0015298,128.98,4745246414568693504,40.60082706996,6.0848,-51.94016909162,5.0058,,,,,,,,,85,4.2125,145.0,5.188,2.006,3,,,9,,false,66.6546,1.18622,21.12779,25.4265,5.42642,21.825323,105.549,19.689255,1.965,2.136068,,,0,,,,,504271243,,0.019518,0.23173,0.193434,21.12779,0.019518,66.6546,0.611,6.0848,5.0058,-0.9216,0.384949
15194,316.08884,-45.436386,316.08885713211,-45.43636053397,0.0311663,0.0198336,27.88,6483787633403472000,316.08887082807,1.1735,-45.43642456677,1.3682,7.4104,1.5273,4.8518,14.569,2.162,1.411,-14.407,1.86,153,3.3987,224.17,4.353,4.141,95,1.4202,0.2895,13,1.202,false,94.6688,0.793766,20.74685,21.4475,3.82911,22.010101,149.982,19.307795,1.811,2.702307,,,0,,,,,487770076,,0.009511,0.193861,0.048063,20.725762,0.009344,96.5255,0.374,22.799,29.0674,0.3605,0.101379
15242,23.420204,-63.257726999999996,23.42024228184,-63.25746550088,0.00864,0.0075064,110.85,4712132074982480128,23.4203173393,0.402,-63.25774350046,0.3867,10.1027,0.4497,22.4677,63.01,7.599,0.531,-62.55,0.479,366,3.0869,511.43,2.45,4.415,95,1.002,0.1212,27,1.116,false,172.804,0.695433,20.093481,30.8896,5.23881,21.61401,303.754,18.54159,1.937,3.07242,,,0,,,,,499236649,,0.005166,0.184159,0.030176,20.06789,0.00508,176.926,0.445,8.5048,7.6593,-0.0935,0.943437
15285,31.037222999999997,-44.887651,31.03741862922,-44.88757609564,0.0080676,0.005076,155.07,4944168129825459712,31.03727432686,0.298,-44.88766959175,0.3943,10.3774,0.4258,24.3711,31.172,-23.003,0.355,-21.037,0.477,433,2.0171,556.71,1.616,2.323,95,0.9222,0.0964,29,1.069,false,171.918,0.657176,20.099064,34.2771,5.69688,21.501032,296.979,18.566082,1.927,2.93495,,,0,,,,,504849601,,0.004982,0.180472,0.022004,20.074384,0.004904,175.871,0.456,5.7229,7.6223,-0.3445,0.56717
15297,46.681833,-59.523897999999996,46.68124834263,-59.52365816862,0.0046393,0.0042371,52.6,4723670972774952320,46.68199280228,0.2165,-59.52392207497,0.221,16.7648,0.2301,72.8705,103.649,84.955,0.28,-59.378,0.273,355,5.5166,700.88,1.86,11.33,95,1.0051,0.0737,27,1.215,false,409.769,0.879255,19.15602,38.6669,5.70189,21.370193,719.483,17.605345,1.85,3.764849,,,0,,,,,499809836,,0.003608,0.160129,0.013858,19.130429,0.003573,419.542,0.261,4.4952,4.3897,0.0873,1.372952
15308,353.296236,-48.085755999999996,353.29631650022,-48.08578228153,0.0016099,0.0011398,28.86,6526470507293919616,353.29631650022,1.2651,-48.08578228153,1.5135,,,,,,,,,232,4.2065,328.09,4.95,3.67,3,,,13,,false,79.9174,0.789825,20.930763,52.0274,15.5267,21.047962,156.123,19.264229,2.605,1.783733,,,0,,,,,,,0.011078,0.324032,0.055028,20.930763,0.011078,79.9174,1.299,1.2651,1.5135,0.2854,0.215475
15313,325.353171,-59.186087,325.35321392623,-59.1861066203,0.0025201,0.0014235,160.73,6458338788237985408,325.35321392623,1.5803,-59.1861066203,2.4249,,,,,,,,,154,2.7103,200.04,3.113,1.14,3,,,10,,false,72.4355,1.02576,21.037489,28.7323,7.35276,21.692616,123.898,19.515234,2.107,2.177382,,,0,,,,,,,0.01562,0.27786,0.087149,21.037489,0.01562,72.4355,0.747,1.5803,2.4249,-0.3516,0.106092
